league,matches,fh_goal_share,p_fhg_empirical,k_estimate,data_source_quality
D1,1027,0.500459981600736,0.7964946445959105,0.9986733837769697,api_ht
E0,1248,0.48169917178733634,0.7668269230769231,1.0537956514676203,api_ht
E1,1783,0.48080357142857144,0.6971396522714526,1.056480482400759,api_ht
F1,1098,0.48638132295719844,0.738615664845173,1.039840264531791,api_ht
I1,1246,0.48188632104934415,0.7182985553772071,1.053235245945522,api_ht
N1,1062,0.46538578835010674,0.751412429378531,1.1035009395585305,api_ht
P1,1027,0.4733357852151526,0.7078870496592016,1.0790640978040582,api_ht
RO1,1063,0.5070908394020698,0.7055503292568204,0.9796838825387754,api_ht
RS1,900,0.45221348779478693,0.6922222222222222,1.144924072093678,api_ht
SA1,956,0.4700361010830325,0.7447698744769874,1.0891565277709152,api_ht
SP1,1246,0.4725207245931839,0.7006420545746388,1.0815504880676932,api_ht
