league,mu_home,mu_away,k_home,k_away,tempo_home,tempo_away,n_train
b1,2.7320872274143304,2.2336448598130842,33.788690265360415,7.649523503425791,1.052767336888903,1.024070010985899,321
b2,2.5919117647058822,2.411764705882353,9.617730387777387,10.924222440708853,0.9987529016644441,1.1057334822040703,272
d1,2.8517350157728707,2.331230283911672,33.425161314038306,7.6139611303522985,1.098871751949647,1.0688104744887081,317
d2,2.889589905362776,2.2555205047318614,17.82476207583937,35.286823351275196,1.11345854511712,1.0340994441940816,317
dk1,2.787878787878788,2.388888888888889,9.013113655282769,13.63630578017372,1.0742657473136064,1.0952454952454953,198
e0,2.3788659793814433,2.195876288659794,9.252927093462457,13.021241518632861,0.9166590205464235,1.0067540706715965,388
e1,2.3716337522441653,1.9712746858168761,12.147535996912639,5.1997906169848465,0.9138721942596604,0.9037798825949634,557
f1,2.5632911392405062,2.0411392405063293,13.770660171331432,8.662136878391552,0.9877243886107834,0.9358110244186195,316
i1,2.442159383033419,1.9408740359897172,11.104558726267117,20.70802884989898,0.9410481496110863,0.889841948967913,389
i2,2.504878048780488,1.9024390243902438,8.12112328257539,82.23795359904842,0.9652158123596349,0.8722204624643649,410
n1,2.896969696969697,2.624242424242424,200.0,12.049692281395732,1.1163022330780517,1.203149174058265,330
p1,2.4161290322580644,2.1483870967741936,29.69998509426589,10.091877977483419,0.9310177586378122,0.9849814701427605,310
ro1,2.374613003095975,2.1424148606811144,5.913403160307185,8.229579522072964,0.9150202022565179,0.9822433500452076,323
rs1,2.5733333333333333,2.223333333333333,6.781721088124702,5.448721235059428,0.9915939919768635,1.0193424353424354,300
sa1,2.5258064516129033,2.4483870967741934,8.324179223968004,4.92480723677549,0.9732802470138946,1.122523927685218,310
sp1,2.681578947368421,2.142105263157895,16.807239297812842,6.6258830768191626,1.033304756433485,0.9821014073645654,380
sp2,2.6449579831932772,2.0294117647058822,15.198330014212566,8.59464667117654,1.0191934372405553,0.9304342716107422,476
sw1,2.8135593220338984,2.4745762711864407,30.692659158988388,16.865854561860694,1.084161341890924,1.1345310057174465,236
tr1,2.7181818181818183,2.0939393939393938,7.097097983765887,3.865481834176109,1.047409103630766,0.9600185672912945,330
tr2,2.50990099009901,2.1782178217821784,7.56770427503903,3.289065877771101,0.9671513247042588,0.9986581075689988,404
