run_date,match_date,tournament,level,surface,round,player_a,player_b,seed_a,seed_b,player_a_id,player_b_id,data_source,p_serve_a,p_serve_b,p_hold_a,p_hold_b,p_set_a,expected_games,p_straight_sets_a,p_three_sets,market,p_raw,p_cal,fair_odds,odds_source,recommended
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Madison Brengle,Linda Fruhvirtova,,24,201483,222258,sackmann/sackmann,0.5056,0.5491,0.514,0.6209,0.3502,23.5,0.123,0.4533,total_games_under_19.5,0.3159,0.6466,1.5465,missing,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Kimberly Birrell,Viktoriya Tomova,1,,214040,202600,sackmann/sackmann,0.5556,0.5199,0.6364,0.5496,0.6269,23.71,0.3941,0.4643,total_games_under_19.5,0.3076,0.6466,1.5466,missing,True
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Maddison Inglis,Yuliia Starodubtseva,,15,213666,263857,sackmann/sackmann,0.5105,0.54,0.5261,0.5992,0.397,23.9,0.1573,0.477,total_games_under_19.5,0.2891,0.6465,1.5469,missing,True
2026-03-15,2026-03-15T16:00-04:00,MIAMI,WTA 1000,Hard,11,Bianca Andreescu,Suzan Lamens,,20,215370,215480,sackmann/sackmann,0.5299,0.5356,0.5744,0.5884,0.4815,24.14,0.2377,0.4918,total_games_under_19.5,0.2772,0.6464,1.547,missing,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Katie Volynets,Priscilla Hon,10,,220465,211880,sackmann/sackmann,0.5253,0.531,0.563,0.577,0.4813,24.11,0.2351,0.4918,total_games_under_19.5,0.2724,0.6464,1.5471,missing,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Renata Zarazua,Martina Trevisan,7,,213887,203354,sackmann/sackmann,0.5333,0.5418,0.5827,0.6034,0.4719,24.19,0.2282,0.4929,total_games_under_19.5,0.2712,0.6464,1.5471,missing,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Storm Hunter,Rebeka Masarova,,17,204411,214119,sackmann/sackmann,0.5376,0.5521,0.5933,0.6282,0.4514,24.22,0.2029,0.4912,total_games_under_19.5,0.2688,0.6463,1.5472,missing,True
2026-03-15,2026-03-15T23:59-04:00,MIAMI,WTA 1000,Hard,11,Erika Andreeva,Rebecca Sramkova,,22,222965,211685,sackmann/sackmann,0.5564,0.5721,0.6382,0.6748,0.4488,24.41,0.2017,0.4963,total_games_under_19.5,0.2541,0.6463,1.5474,missing,True
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,1,3,214544,214981,sackmann/sackmann,0.6024,0.6102,0.7408,0.7566,0.4824,25.06,0.2376,0.5016,total_games_under_19.5,0.2159,0.646,1.548,missing,True
2026-03-15,2026-03-15T11:00-04:00,MIAMI,WTA 1000,Hard,11,Lola Radivojevic,Sinja Kraus,,16,236957,221257,tennisabstract/tennisabstract,0.7628,0.8,0.9583,0.9782,0.5033,30.27,0.2502,0.5068,total_games_under_19.5,0.0125,0.6422,1.5572,missing,True
