scope,model,n,hit_rate,log_loss,brier,p_mean,y_mean
corners_1h_walk_forward,nb,4460,0.895067264573991,0.3506868699647267,0.09777523334121055,0.8738253484715833,0.895067264573991
corners_1h_walk_forward_calibrated,nb,4460,0.895067264573991,0.3308131989887629,0.09311498831669507,0.8950665188184606,0.895067264573991
