bucket,mean_pred,mean_obs,count,calibration_gap
0.0-0.1,,,0,
0.1-0.2,,,0,
0.2-0.3,,,0,
0.3-0.4,,,0,
0.4-0.5,,,0,
0.5-0.6,0.5853880577461938,1.0,2,-0.41461194225380615
0.6-0.7,0.6693248198233387,0.92,50,-0.25067518017666135
0.7-0.8,0.7649901663430672,0.8857615894039735,604,-0.12077142306090638
0.8-0.9,0.8577229070416574,0.8920140632847815,1991,-0.034291156243124066
0.9-1.0,0.9337251344100662,0.9007170435741865,1813,0.033008090835879744
