bucket,count_predictions
0.0-0.1,0
0.1-0.2,0
0.2-0.3,0
0.3-0.4,0
0.4-0.5,0
0.5-0.6,2
0.6-0.7,50
0.7-0.8,604
0.8-0.9,1991
0.9-1.0,1813
