run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,p_raw,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-04-05,2026-04-05,N1,heerenveen,heracles,3.606972879361791,0.5159281269557476,0.8994657979971008,0.0817185926513306,0.01881560935156848,0.9811843906484314,1X,0.9897587907603785,1.12,1.010347176842707,1.12,market,0.8928571428571428,0.09690164790323574,0.022241982400000002,LOW,0.02276,False
2026-04-05,2026-04-05,I2,palermo,avellino,2.57463156702113,0.8619504810834796,0.7237246317060887,0.18605375983233322,0.09022160846157819,0.9097783915384219,1X,0.9000878140677816,,1.1110027092586485,,missing,,,0.09280360959999996,LOW,0.10352,False
2026-04-05,2026-04-05,I2,frosinone,padova,2.6236752297368047,0.9321951796061527,0.7160195876948121,0.18595122243217538,0.09802918987301237,0.9019708101269874,1X,0.8939210711620463,,1.118666996740615,,missing,,,0.09908328959999996,LOW,0.11152,False
2026-04-05,2026-04-05,RO1,uta arad,metaloglobus bucharest,2.393790976508323,0.8577433063592229,0.7269481071597028,0.13942120726441323,0.13363068557588403,0.866369314424116,1X,0.8818737449836044,,1.1339491686744703,,missing,,,0.10240572760000002,LOW,0.11582,False
2026-04-05,2026-04-05T12:00:00+00:00,RO1,uta arad,metaloglobus,2.393790976508323,0.8577433063592229,0.7269481071597028,0.13942120726441323,0.13363068557588403,0.866369314424116,1X,0.8818737449836044,,1.1339491686744703,,missing,,,0.10240572760000002,LOW,0.11582,False
2026-04-05,2026-04-05,RO1,fc rapid bucuresti,u. cluj,0.7914789447591243,1.9469991874328227,0.16502711644683327,0.17077582519995047,0.6641970583532164,0.8349728835531669,X2,0.8715756580000482,,1.1473473252966235,,missing,,,0.12388978560000001,LOW,0.14488,False
2026-04-05,2026-04-05T17:30:00+00:00,RO1,rapid,universitatea cluj,0.7914789447591243,1.9469991874328227,0.16502711644683327,0.17077582519995047,0.6641970583532164,0.8349728835531669,X2,0.8715756580000482,,1.1473473252966235,,missing,,,0.12388978560000001,LOW,0.14488,False
2026-04-05,2026-04-05,RO1,farul constanta,unirea slobozia,2.128131695917805,0.8660534619214277,0.6803419067632178,0.15877564521412804,0.16088244802265406,0.8391175519773458,1X,0.8590199713003551,,1.1641172887822784,,missing,,,0.1205583516,LOW,0.14022,False
2026-04-05,2026-04-05,SP1,getafe,ath bilbao,1.1078100188602253,0.5087443511151541,0.4919609368495277,0.35093438622912887,0.15710467692134328,0.8428953230786566,1X,0.8539900451939451,,1.170973837022767,,missing,,,0.14076975,LOW,0.1695,False
2026-04-05,2026-04-05,F1,lorient,paris fc,1.4460771199582736,0.48108303264668756,0.623386569839511,0.24278303181583624,0.13383039834465285,0.8661696016553473,1X,0.8432216895633292,,1.1859277487488018,,missing,,,0.10832304000000004,LOW,0.1236,False
2026-04-05,2026-04-05,SP2,eibar,ceuta,2.1821837640360866,0.359590862018873,0.8030200522893994,0.14175351897345365,0.05522642873714706,0.9447735712628531,1X,0.8431956651667012,,1.1859643512307412,,missing,,,0.04513513559999998,LOW,0.04738,False
2026-04-05,2026-04-05T12:00:00+00:00,SP2,eibar,ad ceuta fc,2.1821837640360866,0.359590862018873,0.8030200522893994,0.14175351897345365,0.05522642873714706,0.9447735712628531,1X,0.8431956651667012,,1.1859643512307412,,missing,,,0.04513513559999998,LOW,0.04738,False
2026-04-05,2026-04-05,SA1,al ettifaq,al qadsiah,0.8468608767514797,2.316810210016935,0.10513354622156196,0.21116218407467324,0.6837042697037647,0.894866453778438,X2,0.838923170784807,,1.1920042678812968,,missing,,,0.10643478999999999,LOW,0.1211,False
2026-04-05,2026-04-05T18:00:00+00:00,SA1,al-ettifaq,al-qadisiyah fc,0.8468608767514797,2.316810210016935,0.10513354622156196,0.21116218407467324,0.6837042697037647,0.894866453778438,X2,0.838923170784807,,1.1920042678812968,,missing,,,0.10643478999999999,LOW,0.1211,False
