run_date,match_date,league,home_team,away_team,lambda_home,lambda_away,p_home_win,p_draw,p_away_win,market,model_probability,offered_odds,fair_odds,effective_odds,odds_source,implied_probability,edge,variance,variance_class,upset_frequency,recommended
2026-02-27,2026-02-28T17:45:00+00:00,N1,heracles,psv eindhoven,1.1766211290538189,3.823542248040372,0.07599886630048286,0.10362614229439052,0.8203749914051265,X2,0.924001133699517,,1.08224975438742,,missing,,,0.0637041756,LOW,0.06838,False
2026-02-27,2026-02-28T19:00:00+00:00,SA1,al-fayha,al-nassr,0.7971081287214136,2.6891163420536253,0.07973011954526987,0.15957870225679358,0.7606911781979366,X2,0.9202698804547302,,1.0866377583778717,,missing,,,0.07848806040000005,LOW,0.08586,False
2026-02-27,2026-02-28T13:00:00+00:00,RO1,universitatea craiova,metaloglobus,2.1236359856057723,0.5529733993954787,0.7406169408105685,0.17308504255845486,0.08629801663097664,1X,0.9137019833690234,,1.0944487570364863,,missing,,,0.07739298839999996,LOW,0.08454,False
2026-02-27,2026-02-28T14:00:00+00:00,I1,como,lecce,1.6157555245375335,0.41912709910149015,0.6729805077888148,0.234190201316257,0.09282929089492802,1X,0.9071707091050718,1.05,1.1023283599913678,1.05,market,0.9523809523809523,-0.045210243275880524,0.0819163996,LOW,0.09002,False
2026-02-27,2026-02-28T17:00:00+00:00,I1,hellas verona,napoli,0.5558467242836048,1.990477515842777,0.0942952856742262,0.1915942336802796,0.7141104806454941,X2,0.9057047143257737,1.09,1.1041126143904658,1.09,market,0.9174311926605504,-0.011726478334776691,0.08531012760000004,LOW,0.09418,False
2026-02-27,2026-02-28T19:45:00+00:00,I1,inter,genoa,2.6868759784674006,0.8608251921323239,0.7552368981881985,0.14718391594764169,0.09757918586415987,1X,0.9024208141358402,1.04,1.1081304689958884,1.04,market,0.9615384615384615,-0.059117647402621265,0.0859911996,LOW,0.09502,False
2026-02-27,2026-02-28T14:30:00+00:00,D1,1899 hoffenheim,fc st. pauli,2.1771498617761673,0.7869756168689157,0.6845799545402648,0.198149159816552,0.11727088564318315,1X,0.8827291143568168,,1.132850365685095,,missing,,,0.10749375000000004,LOW,0.1225,False
2026-02-27,2026-02-28T20:00:00+00:00,SP1,oviedo,atletico madrid,0.6302252780949026,1.7228818304022577,0.12498763052435945,0.24427110816788808,0.6307412613077524,X2,0.8750123694756405,,1.1428409870357141,,missing,,,0.11528163839999997,LOW,0.13296,False
2026-02-27,2026-02-28T15:00:00+00:00,E0,liverpool,west ham,2.2253200447687473,1.014323576062693,0.6324113844198421,0.21877577987180566,0.14881283570835216,1X,0.8511871642916478,1.1,1.1748297459727242,1.1,market,0.9090909090909091,-0.0579037447992613,0.1354989756,LOW,0.16162,False
2026-02-27,2026-02-28T20:00:00+00:00,N1,nec nijmegen,fortuna sittard,2.6434281693310293,1.2094852938093448,0.6738767458950979,0.17018361099378507,0.155939643111117,1X,0.844060356888883,,1.184749398355698,,missing,,,0.13050533760000002,LOW,0.15432,False
2026-02-27,2026-02-28T17:30:00+00:00,RS1,fk partizan,ofk beograd,2.035757964688743,0.9217448446523288,0.6259421237450346,0.21533350065693818,0.1587243755980272,1X,0.8412756244019728,,1.1886710740143667,,missing,,,0.13688885760000002,LOW,0.16368,False
2026-02-27,2026-02-28T18:00:00+00:00,F1,monaco,angers,1.6873014078782935,0.714720947249914,0.6153559791243953,0.22059078602638638,0.16405323484921822,1X,0.8359467651507817,,1.1962484235699238,,missing,,,0.13131974999999999,LOW,0.1555,False
2026-02-27,2026-02-28T14:30:00+00:00,D1,bayer leverkusen,fsv mainz 05,2.0498728981463166,0.9869295639004372,0.6113558393502051,0.21974563348322593,0.168898527166569,1X,0.831101472833431,,1.2032225097505267,,missing,,,0.14352830999999996,LOW,0.1737,False
2026-02-27,2026-02-28T13:00:00+00:00,RS1,cukaricki,mladost lucani,1.6199358737224112,0.7677862151680978,0.5716129665001586,0.25705304800975415,0.17133398549008733,1X,0.8286660145099127,,1.2067587936394581,,missing,,,0.14410182359999998,LOW,0.17458,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,coventry,stoke city,1.651603642423981,0.8314239799229084,0.5590585666060088,0.261688998450586,0.17925243494340526,1X,0.8207475650565949,,1.2184014215516372,,missing,,,0.15330387839999998,LOW-MEDIUM,0.18904,False
2026-02-27,2026-02-28T15:15:00+00:00,SP1,barcelona,villarreal,2.47377113863003,1.2807364200886968,0.625384255125292,0.19430577584141104,0.180309969033297,1X,0.8196900309667031,,1.2199733584909505,,missing,,,0.14910483039999997,LOW-MEDIUM,0.18236,False
2026-02-27,2026-02-28T18:00:00+00:00,P1,nacional,sc braga,0.953796623561574,1.9358798665468342,0.18338055245292192,0.21261768057517344,0.6040017669719048,X2,0.8166194475470783,,1.2245605991918895,,missing,,,0.14753598999999998,LOW-MEDIUM,0.1799,False
2026-02-27,2026-02-28T12:30:00+00:00,E1,derby,blackburn,1.5493229566103437,0.8111610592158763,0.5386218748242837,0.27400282856463104,0.18737529661108532,1X,0.8126247033889147,,1.2305803599492708,,missing,,,0.15785132639999996,LOW-MEDIUM,0.19644,False
2026-02-27,2026-02-28T15:00:00+00:00,E1,ipswich,swansea,1.6987838147989704,0.9026927111188157,0.5523297971508885,0.25725305593291087,0.19041714691620057,1X,0.8095828530837994,,1.2352040266056508,,missing,,,0.1602278556,LOW-MEDIUM,0.20038,False
