league,team,h_for,h_against,a_for,a_against,n_home,n_away
sp2,zaragoza,3.1666666666666665,2.6666666666666665,2.1666666666666665,2.6666666666666665,6,6
sw1,aarau,1.0,3.5,1.0,1.0,2,1
sw1,basel,2.3,2.8,2.625,2.875,10,8
sw1,grasshoppers,2.6363636363636362,2.1818181818181817,2.7,3.1,11,10
sw1,lausanne,2.75,1.25,2.8,2.5,8,10
sw1,lugano,1.5555555555555556,1.5555555555555556,2.3333333333333335,2.0,9,9
sw1,luzern,3.0,1.5555555555555556,2.0,2.2222222222222223,9,9
sw1,servette,2.0,2.8,1.625,2.5,10,8
sw1,sion,3.125,2.5,2.7,2.4,8,10
sw1,st. gallen,3.625,2.375,2.272727272727273,3.3636363636363638,8,11
sw1,thun,3.75,1.875,3.5555555555555554,1.3333333333333333,8,9
sw1,winterthur,2.3636363636363638,2.8181818181818183,2.0,3.375,11,8
sw1,young boys,3.888888888888889,1.8888888888888888,1.3333333333333333,2.5555555555555554,9,9
sw1,yverdon,2.0,2.0,2.3035714285714284,2.6785714285714284,1,0
sw1,zurich,2.0,3.625,1.7,3.9,8,10
tr1,adana demirspor,5.0,1.0,0.0,2.0,1,1
tr1,alanyaspor,2.142857142857143,2.142857142857143,2.0,2.142857142857143,7,7
tr1,antalyaspor,2.5714285714285716,2.4285714285714284,1.5714285714285714,3.0,7,7
tr1,basaksehir,1.2857142857142858,1.5714285714285714,2.5714285714285716,3.0,7,7
tr1,besiktas,3.2857142857142856,1.2857142857142858,2.7142857142857144,2.2857142857142856,7,7
tr1,bodrumspor,4.0,2.0,3.0,4.0,1,1
tr1,eyupspor,1.8571428571428572,1.7142857142857142,2.0,3.3333333333333335,7,6
tr1,fenerbahce,3.75,1.625,1.8333333333333333,2.6666666666666665,8,6
tr1,galatasaray,3.3333333333333335,0.8333333333333334,2.5,1.25,6,8
tr1,gaziantep,2.2857142857142856,2.7142857142857144,2.142857142857143,3.7142857142857144,7,7
tr1,genclerbirligi,1.1666666666666667,2.1666666666666665,2.1666666666666665,1.8333333333333333,6,6
tr1,goztepe,1.8571428571428572,1.7142857142857142,1.7142857142857142,2.4285714285714284,7,7
tr1,hatayspor,2.0,4.0,2.0,5.0,1,1
tr1,karagumruk,1.8333333333333333,2.5,2.1666666666666665,1.6666666666666667,6,6
tr1,kasimpasa,1.5714285714285714,3.4285714285714284,1.8571428571428572,1.1428571428571428,7,7
tr1,kayserispor,3.125,2.75,3.5,2.5,8,6
tr1,kocaelispor,1.8,2.2,1.5,1.1666666666666667,5,6
tr1,konyaspor,2.5714285714285716,1.1428571428571428,1.2857142857142858,2.142857142857143,7,7
tr1,rizespor,3.0,1.3333333333333333,2.0,3.2857142857142856,6,7
tr1,samsunspor,2.4285714285714284,2.5714285714285716,1.1428571428571428,3.857142857142857,7,7
tr1,sivasspor,2.464,2.064,2.0,2.0,0,1
tr1,trabzonspor,3.4285714285714284,2.7142857142857144,2.7142857142857144,2.4285714285714284,7,7
tr2,adana demirspor,0.5,3.75,0.8333333333333334,3.3333333333333335,4,6
tr2,amedspor,6.6,2.4,3.2,1.2,5,5
tr2,bandirmaspor,1.5,3.0,2.0,3.6666666666666665,6,6
tr2,bodrumspor,1.75,1.375,2.2,4.2,8,5
tr2,boluspor,2.5,1.3333333333333333,1.0,3.2,6,5
tr2,corum,4.125,0.625,2.0,1.8,8,5
tr2,erokspor,2.8,0.8,1.0,2.0,5,5
tr2,erzurumspor,2.6,1.6,0.4,2.4,5,5
tr2,hatayspor,1.4,1.8,1.2,4.2,5,5
tr2,igdir fk,2.0,3.0,2.2,1.8,5,5
tr2,istanbulspor as,3.2,1.8,1.0,3.2,5,5
tr2,karagumruk,2.0,3.0,1.7169811320754718,2.6792452830188678,1,0
tr2,keciorengucu,2.6,2.2,0.3333333333333333,1.8333333333333333,5,6
tr2,manisa fk,2.0,3.4,2.4,4.0,5,5
tr2,pendikspor,3.4,0.8,3.0,1.1666666666666667,5,6
tr2,sakaryaspor,2.0,1.4,2.8,1.8,5,5
tr2,sariyer,2.4,0.2,2.2,1.6,5,5
tr2,serik spor,2.25,2.25,1.5,2.5,4,6
tr2,sivasspor,3.4,0.4,2.0,3.6,5,5
tr2,umraniyespor,2.4,1.0,2.0,3.2,5,5
tr2,vanspor fk,4.0,2.25,1.3333333333333333,3.0,4,6
