league,mu_total_1h,var_total_1h,k_dispersion,tempo_factor,n_train
b1,4.9298245614035086,5.2693681105418415,71.57600333710353,1.058813511962925,114
b2,4.466666666666667,3.578205128205128,12.0,0.9593377941130274,105
d1,4.427272727272728,4.925854879065888,39.31296724352938,0.9508768773399818,110
d2,4.12962962962963,4.151263412945656,200.0,0.8869499506103031,108
dk1,4.912280701754386,4.133830150597734,12.0,1.0550454923473986,114
e0,5.107438016528926,5.046694214876033,12.0,1.0969608179878827,121
e1,4.990384615384615,6.844566840926063,13.431224971534357,1.0718204258280595,104
f1,4.851851851851852,5.92177223952925,22.002072923781103,1.042066758116141,108
i1,4.336206896551724,5.859895052473763,12.340248348471638,0.9313180206617077,116
i2,4.469565217391304,4.777574370709382,64.8585050713871,0.9599603364842882,115
n1,5.051724137931035,5.301649175412292,102.11028483958462,1.0849947517052896,116
p1,4.695238095238095,4.079304029304029,12.0,1.0084297068181718,105
ro1,4.818181818181818,6.040033361134278,18.999751784052133,1.034835205318666,110
rs1,4.163793103448276,3.633808095952024,12.0,0.8942874830608445,116
sa1,4.647540983606557,4.081357539628777,12.0,0.9981854586409711,122
sp1,4.565217391304348,4.353165522501906,12.0,0.9805042347358975,115
sp2,4.635036496350365,5.777586947187634,18.8031638399482,0.9954997809049554,137
sw1,4.982142857142857,5.0807593307593315,200.0,1.0700502847449411,112
tr1,4.528,5.493161290322582,21.242857754010657,0.9725107906889077,125
tr2,4.39622641509434,4.812938005390836,46.37933559520608,0.9442088398831402,106
