run_date,match_date,league,home_team,away_team,model,lambda_corners,k_dispersion,p_under_12_5_raw,p_under_12_5_cal,p_under_12_5,fair_odds_under_12_5,offered_odds_under_12_5,implied_probability,edge,odds_source,recommended
2026-04-05,2026-04-05,SP2,almeria,leganes,nb,7.936768563957561,200.0,0.9354901199613946,0.9455403979764415,0.9455403979764415,1.0575962720790226,,,,missing,True
2026-04-05,2026-04-05,SP2,las palmas,huesca,nb,8.322822015607766,200.0,0.9151905631511302,0.9319503956245015,0.9319503956245015,1.0730184832744218,,,,missing,True
2026-04-05,2026-04-05,SP2,andorra,racing santander,nb,8.689338349259476,200.0,0.8926201112219836,0.9174017479661206,0.9174017479661206,1.0900349843642654,,,,missing,True
2026-04-05,2026-04-05T14:15:00+00:00,SP2,andorra,racing santander,nb,8.689338349259476,200.0,0.8926201112219836,0.9174017479661206,0.9174017479661206,1.0900349843642654,,,,missing,True
2026-04-05,2026-04-05,SP2,eibar,ceuta,nb,8.75263861157459,200.0,0.8883971953915921,0.9147281463759052,0.9147281463759052,1.0932209793280512,,,,missing,True
2026-04-05,2026-04-05T12:00:00+00:00,SP2,eibar,ceuta,nb,8.75263861157459,200.0,0.8883971953915921,0.9147281463759052,0.9147281463759052,1.0932209793280512,,,,missing,True
2026-04-05,2026-04-05,SP2,zaragoza,mirandes,nb,9.452458178280576,200.0,0.8355567529595932,0.8820891672144988,0.8820891672144988,1.1336722376467283,,,,missing,True
2026-04-05,2026-04-05,I1,pisa,torino,nb,8.162474400267442,56.34965946347613,0.9144137141211743,0.8813941807040605,0.8813941807040605,1.1345661474655946,,,,missing,True
2026-04-05,2026-04-05,I1,cremonese,bologna,nb,8.368020989422568,56.34965946347613,0.9024340079560029,0.8726134122186908,0.8726134122186908,1.1459828441754274,,,,missing,True
2026-04-05,2026-04-05,I1,inter,roma,nb,8.518063688185942,56.34965946347613,0.893103425630725,0.8660893933308866,0.8660893933308866,1.1546152252876665,,,,missing,True
2026-04-05,2026-04-05,D2,holstein kiel,preussen munster,nb,10.763770848290495,12.0,0.6816962497757904,0.8634195879459018,0.8634195879459018,1.1581854453626963,,,,missing,True
2026-04-05,2026-04-05T11:30:00+00:00,D2,holstein kiel,preussen munster,nb,10.763770848290495,12.0,0.6816962497757904,0.8634195879459018,0.8634195879459018,1.1581854453626963,,,,missing,True
2026-04-05,2026-04-05,D2,hannover,elversberg,nb,10.573930901896965,12.0,0.6972348870984969,0.8553279270810593,0.8553279270810593,1.1691422299429142,,,,missing,True
2026-04-05,2026-04-05T11:30:00+00:00,D2,hannover,elversberg,nb,10.573930901896965,12.0,0.6972348870984969,0.8553279270810593,0.8553279270810593,1.1691422299429142,,,,missing,True
2026-04-05,2026-04-05,F1,fc lorient,paris fc,nb,8.545924270868035,70.72132946781277,0.894179074001908,0.8497077957833042,0.8497077957833042,1.1768751622175582,,,,missing,True
2026-04-05,2026-04-05,F1,monaco,marseille,nb,8.722447128654668,70.72132946781277,0.88254251859512,0.8446330916357322,0.8446330916357322,1.1839460351516435,,,,missing,True
2026-04-05,2026-04-05,F1,le havre ac,aj auxerre,nb,8.769659289496605,70.72132946781277,0.8793142900065032,0.8432800846081969,0.8432800846081969,1.1858456262068824,,,,missing,True
2026-04-05,2026-04-05,RO1,farul constanta,unirea slobozia,nb,9.735580611414623,108.71256454389014,0.8074129399619732,0.8428192631909117,0.8428192631909117,1.186494001352084,,,,missing,True
2026-04-05,2026-04-05,RO1,uta arad,metaloglobus bucharest,nb,9.59350158289516,108.71256454389014,0.8197934730744828,0.8411927716755107,0.8411927716755107,1.1887881513867182,,,,missing,True
2026-04-05,2026-04-05T12:00:00+00:00,RO1,uta arad,metaloglobus bucharest,nb,9.59350158289516,108.71256454389014,0.8197934730744828,0.8411927716755107,0.8411927716755107,1.1887881513867182,,,,missing,True
2026-04-05,2026-04-05,RO1,fc rapid bucuresti,u. cluj,nb,9.498190234596686,108.71256454389014,0.8278843448183801,0.8400743949776803,0.8400743949776803,1.1903707647541961,,,,missing,True
2026-04-05,2026-04-05T17:30:00+00:00,RO1,fc rapid bucuresti,u. cluj,nb,9.498190234596686,108.71256454389014,0.8278843448183801,0.8400743949776803,0.8400743949776803,1.1903707647541961,,,,missing,True
2026-04-05,2026-04-05,F1,fc metz,fc nantes,nb,8.996182283435193,70.72132946781277,0.8631582920787674,0.8368139163647021,0.8368139163647021,1.1950088071482043,,,,missing,True
2026-04-05,2026-04-05,I2,frosinone,padova,nb,8.740170328827983,47.54335936864583,0.8758029144131874,0.8364162215896572,0.8364162215896572,1.1955770036351547,,,,missing,True
2026-04-05,2026-04-05,SP1,getafe,athletic club,nb,8.994265244712658,48.11125522659204,0.8578605228699556,0.8341433338317484,0.8341433338317484,1.1988347319235495,,,,missing,True
2026-04-05,2026-04-05T12:00:00+00:00,SP1,getafe,athletic club,nb,8.994265244712658,48.11125522659204,0.8578605228699556,0.8341433338317484,0.8341433338317484,1.1988347319235495,,,,missing,True
2026-04-05,2026-04-05,RS1,partizan,cukaricki,nb,8.25240529484213,27.291935420346743,0.8962084534523014,0.8340915044206414,0.8340915044206414,1.198909226026224,,,,missing,True
2026-04-05,2026-04-05T17:00:00+00:00,RS1,partizan,cukaricki,nb,8.25240529484213,27.291935420346743,0.8962084534523014,0.8340915044206414,0.8340915044206414,1.198909226026224,,,,missing,True
2026-04-05,2026-04-05,RS1,radnik,crvena zvezda,nb,9.070690185930445,27.291935420346743,0.8405300163808936,0.8253066887598468,0.8253066887598468,1.2116707808374332,,,,missing,True
