run_date,match_date,league,home_team,away_team,side,team,line,model,lambda_our,lambda_bk,scaling_factor,elo_multiplier,depletion_multiplier,absent_count,k_dispersion,p_over_raw,p_over,fair_odds_over,fair_odds_under,offered_odds_over,implied_probability,edge,odds_source,recommended
2026-04-22,2026-04-22,DK1,viborg,brondby,away,brondby,3.5,nb,2.534,4.56,1.8,1.0,1.0,0,13.63630578017372,0.6307918799127978,0.6518662046819333,1.5340571313831683,2.872458846135195,,,,missing,True
2026-04-22,2026-04-22,DK1,viborg,brondby,away,brondby,2.5,nb,2.534,4.56,1.8,1.0,1.0,0,13.63630578017372,0.7909596537279681,0.6506252693779911,1.5369830331920815,2.862256231925106,,,,missing,True
2026-04-22,2026-04-22,B1,club brugge kv,kv mechelen,away,kv mechelen,2.5,nb,2.349,3.994,1.7,1.0,1.0,0,7.649523503425791,0.6976857133007751,0.6461573203390818,1.5476107265568597,2.826114704303856,,,,missing,True
2026-04-22,2026-04-22,DK1,vejle,silkeborg,away,silkeborg,2.5,nb,2.266,4.08,1.8,1.0,1.0,0,13.63630578017372,0.7341587613823002,0.6396103412457769,1.5634518948713176,2.774774402397532,,,,missing,True
2026-04-22,2026-04-22,DK1,vejle,silkeborg,away,silkeborg,3.5,nb,2.266,4.08,1.8,1.0,1.0,0,13.63630578017372,0.5551452985624301,0.6392211379571799,1.5644038355737038,2.7717810138258936,,,,missing,True
2026-04-22,2026-04-22,E0,bournemouth,leeds,home,bournemouth,3.5,nb,2.343,4.451,1.9,1.065,1.0,0,9.252927093462455,0.6010939920483781,0.636849449391202,1.5702298258339593,2.7536788759470854,,,,missing,True
2026-04-22,2026-04-22,E0,bournemouth,leeds,home,bournemouth,2.5,nb,2.343,4.451,1.9,1.065,1.0,0,9.252927093462455,0.76209184116208,0.6332612228714432,1.5791271656673151,2.726736473927488,,,,missing,True
2026-04-22,2026-04-22,RS1,vojvodina,partizan,away,partizan,2.5,nb,2.335,4.203,1.8,1.032,1.0,0,5.448721235059428,0.7025680068663217,0.6312360046534155,1.5841935387526842,2.7117614859882004,,,,missing,True
2026-04-22,2026-04-22,E1,charlton,ipswich,away,ipswich,3.5,nb,2.248,4.72,2.1,1.064,1.0,0,5.199790616984847,0.607281751186569,0.6298108783739997,1.5877782273017065,2.7013219502713905,,,,missing,True
2026-04-22,2026-04-22,B1,royale union sg,gent,home,royale union sg,3.5,nb,3.624,6.16,1.7,1.0,1.0,0,33.788690265360415,0.8399684751828703,0.6290974268877317,1.5895789066364425,2.696125809020232,,,,missing,True
2026-04-22,2026-04-22,DK1,fc copenhagen,odense,away,odense,2.5,nb,1.966,3.539,1.8,1.0,1.0,0,13.63630578017372,0.6540020528679913,0.6261510494275422,1.5970587303403048,2.674877108705924,,,,missing,True
2026-04-22,2026-04-22,RS1,ofk beograd mozzart bet,cukaricki,away,cukaricki,2.5,nb,2.284,4.112,1.8,1.018,1.0,0,5.448721235059428,0.6919959700877294,0.6242879402685183,1.6018249520724053,2.6616127273494805,,,,missing,True
2026-04-22,2026-04-22,DK1,fc copenhagen,odense,away,odense,3.5,nb,1.966,3.539,1.8,1.0,1.0,0,13.63630578017372,0.458317997170685,0.6233089825873258,1.6043407490279504,2.6546956358783453,,,,missing,True
2026-04-22,2026-04-22,RS1,vojvodina,partizan,away,partizan,3.5,nb,2.335,4.203,1.8,1.032,1.0,0,5.448721235059428,0.5427621160014942,0.6225854382322676,1.6062052508637867,2.6496062984856894,,,,missing,True
2026-04-22,2026-04-22,B1,royale union sg,gent,home,royale union sg,4.5,nb,3.624,6.16,1.7,1.0,1.0,0,33.788690265360415,0.7128341874203676,0.6168110620779967,1.6212420001532795,2.6096786755455517,,,,missing,True
2026-04-22,2026-04-22,RS1,ofk beograd mozzart bet,cukaricki,away,cukaricki,3.5,nb,2.284,4.112,1.8,1.018,1.0,0,5.448721235059428,0.5298771146055182,0.6162470174763854,1.6227259063989221,2.6058429394446834,,,,missing,True
2026-04-22,2026-04-22,E1,charlton,ipswich,away,ipswich,2.5,nb,2.248,4.72,2.1,1.064,1.0,0,5.199790616984847,0.7522304045678252,0.6157354416403561,1.6240741272516976,2.602373750701391,,,,missing,True
2026-04-22,2026-04-22,N1,telstar,sparta r.,home,telstar,4.5,nb,3.439,6.362,1.85,1.019,1.0,0,200.0,0.7561180677254461,0.6087393657878272,1.6427391691776092,2.555841075127737,,,,missing,True
2026-04-22,2026-04-22,N1,telstar,sparta r.,away,sparta r.,4.5,nb,3.506,6.487,1.85,1.009,1.0,0,12.049692281395732,0.7135139117000286,0.6054246095347586,1.6517333194771429,2.5343699180552193,,,,missing,True
