side,line_bookmaker,line_our_scale,n,hit_rate,log_loss,brier,p_mean,y_mean,scope
home,2.5,1.316,17115,0.9278410750803389,0.27992027566515687,0.06783162781910693,0.9723423734554387,0.9278410750803389,raw
home,2.5,1.316,17115,0.9278410750803389,0.24653728899309582,0.06525970066820869,0.9278411345187912,0.9278410750803389,calibrated
home,3.5,1.842,17115,0.9214139643587497,0.2687037956859239,0.07121818368588975,0.9362917030338216,0.9214139643587497,raw
home,3.5,1.842,17115,0.9214139643587497,0.25925309746647396,0.07000691877850883,0.9214133917979503,0.9214139643587497,calibrated
home,4.5,2.368,17115,0.8185801928133216,0.4746198377463941,0.14644609346102042,0.8799244268461613,0.8185801928133216,raw
home,4.5,2.368,17115,0.819047619047619,0.449456770449574,0.14135350047532377,0.8185804424161595,0.8185801928133216,calibrated
home,5.5,2.895,17115,0.7926380368098159,0.4855472215093507,0.15562425599532007,0.804072839408974,0.7928717499269646,raw
home,5.5,2.895,17115,0.7936313175576979,0.4753622269570522,0.15280078758642074,0.7928703431467372,0.7928717499269646,calibrated
away,2.5,1.316,17115,0.8684195150452819,0.4148998079721729,0.11621815104782914,0.9345652007710883,0.8684195150452819,raw
away,2.5,1.316,17115,0.8682442302074204,0.37517279122834557,0.11099162459577967,0.8684193457736651,0.8684195150452819,calibrated
away,3.5,1.842,17115,0.8580777096114519,0.40412306543750415,0.12020497199721472,0.8671889335430412,0.8586035641250365,raw
away,3.5,1.842,17115,0.858428279287175,0.39052231497076306,0.11728212209643622,0.8586041365279831,0.8586035641250365,calibrated
away,4.5,2.368,17115,0.711831726555653,0.6027176555763312,0.20324303035961447,0.7766685562787436,0.7104878761320479,raw
away,4.5,2.368,17115,0.7124160093485247,0.578935594581702,0.19653915082943255,0.710487880567791,0.7104878761320479,calibrated
away,5.5,2.895,17115,0.6689453695588665,0.6178305982425821,0.21355937501592134,0.6708612092275495,0.6783523225241017,raw
away,5.5,2.895,17115,0.685130002921414,0.5984069398892256,0.20570653813374776,0.6783542453917744,0.6783523225241017,calibrated
