line,n_preds,n_bets,hit_rate,log_loss,brier
2.5,34230,33981,0.8996792325122863,0.31085504011072074,0.08812566263199417
3.5,34230,33801,0.8926658974586551,0.32488770621861846,0.09364452043747253
4.5,34230,25670,0.8108687183482665,0.514196182515638,0.16894632565237816
5.5,34230,21804,0.8116400660429279,0.5368845834231388,0.17925366286008426
