audit_type,league,n_test,hit_rate,log_loss,brier,log_loss_cal,brier_cal,log_loss_bias,brier_bias,p_fhg_mean,p_fhg_cal_mean,p_fhg_bias_mean,y_mean,k_estimate,run_timestamp_utc
legacy_leaky_audit,D1,692,0.8728323699421965,0.34569009100276643,0.10417920854804996,0.37669028415820677,0.11230959527760531,0.3853536586565326,0.11434798278580177,0.7119116796161533,0.7621622663906501,0.7476017863199071,0.8063583815028902,1.0004392434318872,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,N1,686,0.8338192419825073,0.4083610347065284,0.12892852417882375,0.4697636649995553,0.14813331858631193,0.47608582710618585,0.15018108070962163,0.6881669922788304,0.7309311016379386,0.7111718949085798,0.760932944606414,1.1114692225578031,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,F1,698,0.8137535816618912,0.41372027111216003,0.13239416292599215,0.442992772372104,0.14033657202244462,0.44319725474473043,0.13958997505694284,0.6583057955145922,0.6842929932627061,0.6949755230157831,0.7378223495702005,1.044917942071944,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,E0,839,0.8104886769964244,0.42089650302759046,0.13422361047180031,0.4414687315771937,0.13890025697955932,0.4467849360577055,0.13999300891146557,0.6941557003133754,0.7408314107197667,0.7319515587414985,0.7747318235995232,1.0642008142053916,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,RS1,587,0.8023850085178875,0.43694363773631484,0.14152004794751832,0.4541347202749871,0.14610141173899088,0.44895337245621003,0.14396754300931697,0.6400127241612804,0.6677227305624717,0.6939029227499849,0.7155025553662692,1.144924072093678,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,I1,840,0.7964285714285714,0.43986046232203396,0.1435203288166928,0.4604640043426464,0.14846626229870627,0.4582993984299401,0.14683026730337712,0.6269786360191208,0.6595280751648951,0.6783051341111727,0.7142857142857143,1.0680402497757666,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,SA1,628,0.8089171974522293,0.44040798884899734,0.14317987103759847,0.4555980125700426,0.146778253750782,0.4490413015743199,0.14452796179447103,0.6685777362968871,0.67797154099649,0.7096821585622739,0.7229299363057324,1.0764414351590874,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,SP1,832,0.8004807692307693,0.4410967392475204,0.1440031371588395,0.4327933498444433,0.13958613044207369,0.42836637777557635,0.1376832773366913,0.6328557673451338,0.6660350288912842,0.6866669504463714,0.7235576923076923,1.07260374895684,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,RO1,688,0.7761627906976745,0.4419085637555105,0.14593832269025464,0.48129611995954913,0.15426776935674452,0.4843386883139412,0.15548283907698768,0.6112467712446862,0.6364346846463096,0.6293717533483193,0.6991279069767442,1.0022229511961818,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,P1,698,0.7808022922636103,0.4502002158829337,0.1478791522175559,0.45807990834863405,0.1477877176571247,0.4612217885983071,0.14792018137103502,0.6421371884877293,0.6742645502058044,0.6776142819515916,0.7234957020057307,1.0668360859702757,2026-05-03T08:54:13.267418+00:00
legacy_leaky_audit,E1,1137,0.7854001759014951,0.4592999500214949,0.15114598458739162,0.47748832665845553,0.15597975845125023,0.4685317752437308,0.15255534604074542,0.6278748647694957,0.6408368702270223,0.6800577522077221,0.6956904133685137,1.0641012569822894,2026-05-03T08:54:13.267418+00:00
production_kpi,D1,692,0.796242774566474,0.5044154007143389,0.16090066818274096,0.4899059540435658,0.15575774450095048,0.49081394115360716,0.15603463286577685,0.7855698933791572,0.8063587727343051,0.7896857798387181,0.8063583815028902,1.0004392434318872,2026-05-03T08:54:13.267418+00:00
production_kpi,E0,839,0.768772348033373,0.5426329418220036,0.17807122733869843,0.5323244807042476,0.1741098357722493,0.5326597687127725,0.17423085738379854,0.7523937073330265,0.7747312586842843,0.763735992997404,0.7747318235995232,1.0642008142053916,2026-05-03T08:54:13.267418+00:00
production_kpi,N1,686,0.7594752186588921,0.560460688455183,0.1855517362481266,0.5497358949679594,0.1818176447949507,0.5508575365493957,0.18224056988471812,0.7523738556818876,0.7609400398666081,0.7403696037165006,0.760932944606414,1.1114692225578031,2026-05-03T08:54:13.267418+00:00
production_kpi,SP1,832,0.7139423076923077,0.5769927161514407,0.19598289043138267,0.5738285838712025,0.19437794080378207,0.5748660379668179,0.1948087469602157,0.6928986696941035,0.7235583386305818,0.7434829521518367,0.7235576923076923,1.07260374895684,2026-05-03T08:54:13.267418+00:00
production_kpi,F1,698,0.7306590257879656,0.5825578983142647,0.19653067497801094,0.5741461187524008,0.1930153479537366,0.5743155423028597,0.1930816866923057,0.7285067793979786,0.7378217424244388,0.7459440630236497,0.7378223495702005,1.044917942071944,2026-05-03T08:54:13.267418+00:00
production_kpi,SA1,628,0.7117834394904459,0.5894543967352298,0.20099031258456074,0.5846041409070994,0.19843685763703395,0.5869278695922434,0.1994045736287824,0.7287263755635004,0.722929281770562,0.7537385708597156,0.7229299363057324,1.0764414351590874,2026-05-03T08:54:13.267418+00:00
production_kpi,P1,698,0.7191977077363897,0.5911743553081784,0.20124229715228414,0.5859232619696195,0.19873435508912946,0.5859226784994305,0.19873444080614763,0.7049100910829402,0.7234932661665118,0.7237129538274175,0.7234957020057307,1.0668360859702757,2026-05-03T08:54:13.267418+00:00
production_kpi,RS1,587,0.7103918228279387,0.5986582671106684,0.20448754596249086,0.5931470431221962,0.20195871461321577,0.5947190069436777,0.20256198023013433,0.6974726503149118,0.7155034715877738,0.7400067038352351,0.7155025553662692,1.144924072093678,2026-05-03T08:54:13.267418+00:00
