league,team,h_for,h_against,a_for,a_against,n_home,n_away
p1,estrela,3.6470588235294117,4.882352941176471,3.235294117647059,5.705882352941177,17,17
p1,famalicao,5.294117647058823,5.176470588235294,5.117647058823529,4.647058823529412,17,17
p1,farense,6.0,5.75,2.3333333333333335,9.0,4,3
p1,fc porto,2.0,0.0,2.0,3.0,1,1
p1,gil vicente,4.882352941176471,2.8823529411764706,5.352941176470588,4.705882352941177,17,17
p1,guimaraes,5.823529411764706,3.823529411764706,3.8,3.466666666666667,17,15
p1,moreirense,3.411764705882353,4.9411764705882355,3.1176470588235294,4.117647058823529,17,17
p1,nacional,4.9411764705882355,6.176470588235294,4.0588235294117645,4.705882352941177,17,17
p1,porto,5.25,3.4375,5.5,3.3125,16,16
p1,rio ave,4.9411764705882355,5.294117647058823,3.176470588235294,6.882352941176471,17,17
p1,santa clara,4.352941176470588,4.352941176470588,4.117647058823529,4.352941176470588,17,17
p1,sp braga,5.666666666666667,2.933333333333333,5.352941176470588,2.823529411764706,15,17
p1,sp lisbon,6.625,1.8125,6.75,3.375,16,16
p1,sporting cp,3.0,2.0,0.0,1.0,1,1
p1,tondela,3.642857142857143,5.5,4.0,5.461538461538462,14,13
p1,vitoria guimaraes,2.0,1.0,6.0,0.0,1,1
ro1,cfr cluj,4.636363636363637,3.090909090909091,3.090909090909091,5.181818181818182,11,11
ro1,csikszereda m. ciuc,3.0,6.333333333333333,2.125,5.25,6,8
ro1,dinamo bucuresti,5.636363636363637,3.4545454545454546,4.333333333333333,4.25,11,12
ro1,farul constanta,4.0,4.666666666666667,4.8,5.7,12,10
ro1,fc arges,4.0,2.875,4.857142857142857,4.714285714285714,8,7
ro1,fc botosani,5.545454545454546,2.727272727272727,4.545454545454546,5.181818181818182,11,11
ro1,fc hermannstadt,5.545454545454546,4.090909090909091,3.272727272727273,4.090909090909091,11,11
ro1,fc rapid bucuresti,6.083333333333333,3.0833333333333335,3.1818181818181817,5.090909090909091,12,11
ro1,fc voluntari,5.0,8.0,3.0,4.0,1,1
ro1,fcsb,6.076923076923077,3.1538461538461537,4.6,3.7,13,10
ro1,gloria buzau,3.6666666666666665,4.666666666666667,4.0,6.25,3,4
ro1,metaloglobus bucharest,4.875,5.375,3.0,7.444444444444445,8,9
ro1,otelul,5.0,5.3,3.2,3.7,10,10
ro1,petrolul,7.222222222222222,3.5555555555555554,3.8181818181818183,5.7272727272727275,9,11
ro1,poli iasi,3.5,3.5,6.0,4.0,4,4
ro1,sepsi sf. gheorghe,6.333333333333333,4.666666666666667,4.0,4.333333333333333,3,3
ro1,u. cluj,5.2727272727272725,3.727272727272727,3.5,6.083333333333333,11,12
ro1,unirea slobozia,4.090909090909091,4.2727272727272725,4.0,7.416666666666667,11,12
ro1,univ. craiova,5.818181818181818,3.4545454545454546,4.636363636363637,3.3636363636363638,11,11
ro1,uta arad,4.416666666666667,4.083333333333333,4.6,4.9,12,10
rs1,crvena zvezda,7.25,3.0833333333333335,8.333333333333334,3.0833333333333335,12,12
rs1,cukaricki,3.6363636363636362,4.0,4.769230769230769,3.5384615384615383,11,13
rs1,imt novi beograd,5.0,3.4615384615384617,4.7,2.6,13,10
rs1,javor,3.142857142857143,6.285714285714286,3.75,5.75,7,8
rs1,jedinstvo u.,5.75,5.5,2.75,3.0,4,4
rs1,macva,1.0,9.0,4.0,7.0,1,1
