league,mu_total,var_total,k_dispersion,tempo_factor,n_train
d1,9.331147540983606,12.676164797239,26.029855083341467,0.993274599884764,305
d2,9.427807486631016,10.267609683169455,105.83867769260765,1.0035637811902922,187
dk1,9.575757575757576,12.087213599408722,36.51074607166426,1.0193126550490168,165
e0,9.805263157894737,11.01738647410082,79.31799043062206,1.043742883407037,380
e1,9.968978102189782,11.254977381603705,77.27883366095718,1.0611698820774145,548
f1,9.065573770491802,11.416738567730803,34.95485636937882,0.9650050135914872,305
i1,8.768,11.25351871657754,30.93029373999554,0.9333291166534897,375
i2,9.108910891089108,12.495542091522584,24.49993893967009,0.9696181290665543,202
n1,10.0,11.437699680511182,69.55555555555557,1.0644720764752391,314
p1,8.963696369636963,11.631128013463599,30.12180379317152,0.954160448748102,303
ro1,9.00561797752809,11.960420237415095,27.44723606657811,0.9586228868482068,178
rs1,8.810526315789474,12.641158451684769,20.264377055113975,0.937855924220816,190
sa1,9.661458333333334,10.162276396160559,186.38260888553134,1.0284352613862338,192
sp1,9.546174142480211,12.97868241403861,26.548935515655423,1.0161635811840146,379
sp2,8.670588235294117,11.615470125057895,25.528731935680856,0.9229599063085308,255
sw1,10.006060606060606,12.359719142645975,42.53856168848155,1.0651172110670422,165
