match_date,league,home_team,away_team,market,model_probability,fair_odds,offered_odds,edge,won
2026-02-20,I1,sassuolo,hellas verona,1X,0.8449307937731501,1.1835288846964234,,,True
2026-02-21,E1,middlesbrough,oxford united,1X,0.8680959019637899,1.1519464586088002,,,True
2026-02-21,N1,psv,heerenveen,1X,0.8576347268601975,1.165997561293958,,,True
2026-02-21,E1,west brom,coventry,X2,0.8386859189574392,1.1923414682377027,,,True
2026-02-21,E0,aston villa,leeds,1X,0.8350540067771337,1.1975273358180394,,,True
2026-02-21,F1,toulouse,paris fc,1X,0.8314825904117332,1.2026710018123414,,,True
2026-02-22,E0,crystal palace,wolves,1X,0.8668838908382932,1.1535570225361795,,,True
2026-02-22,E0,tottenham,arsenal,X2,0.8563535737190295,1.1677419592670504,,,True
2026-02-22,N1,feyenoord,telstar,1X,0.8443284367538458,1.1843732325831144,,,True
2026-02-22,SP1,celta de vigo,rcd mallorca,1X,0.8417900610979213,1.1879446505886875,,,True
2026-02-22,N1,utrecht,pec zwolle,1X,0.8011615152812901,1.248187763548399,,,True
