run_date,match_date,league,home_team,away_team,market,lam_home,lam_away,p_raw,p_cal,fair_odds,offered_odds,implied_probability,edge,odds_source,recommended
2026-03-06,2026-03-06T19:30:00+00:00,D1,bayern münchen,borussia mönchengladbach,over_2_5,4.1949,0.6665,0.8626,0.8626,1.1593,,,,missing,True
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al-hilal saudi fc,al najma,over_2_5,4.2318,0.6065,0.8605,0.8605,1.1622,,,,missing,True
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al khaleej saihat,al-hazm,over_2_5,2.1875,1.1937,0.6566,0.6566,1.523,,,,missing,True
2026-03-06,2026-03-06T19:45:00+00:00,I1,napoli,torino,over_2_5,2.3083,0.8306,0.6072,0.6072,1.6469,5.5,0.1818,0.4254,market,False
2026-03-06,2026-03-06T19:00:00+00:00,N1,heracles,utrecht,over_2_5,1.1244,2.0026,0.6046,0.6046,1.6539,4.4,0.2273,0.3774,market,False
2026-03-06,2026-03-06T19:45:00+00:00,F1,paris saint germain,monaco,over_2_5,1.3859,1.6053,0.5748,0.5748,1.7397,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al taawon,al-fateh,over_2_5,1.9792,1.0102,0.5744,0.5744,1.7409,,,,missing,False
2026-03-06,2026-03-06T20:15:00+00:00,P1,famalicao,arouca,over_2_5,2.0301,0.8651,0.5529,0.5529,1.8085,,,,missing,False
2026-03-06,2026-03-06T20:00:00+00:00,SP1,celta vigo,real madrid,over_2_5,1.1077,1.4386,0.468,0.468,2.1368,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al-ahli jeddah,al-ittihad fc,over_2_5,1.4202,0.6085,0.3311,0.3311,3.0203,,,,missing,False
2026-03-06,2026-03-06T20:00:00+00:00,E1,preston,oxford united,over_2_5,1.228,0.7301,0.312,0.312,3.2053,,,,missing,False
2026-03-06,2026-03-06T20:00:00+00:00,E1,preston,oxford united,under_3_5,1.228,0.7301,0.8646,0.8646,1.1566,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al-ahli jeddah,al-ittihad fc,under_3_5,1.4202,0.6085,0.8519,0.8519,1.1738,,,,missing,False
2026-03-06,2026-03-06T20:00:00+00:00,SP1,celta vigo,real madrid,under_3_5,1.1077,1.4386,0.7477,0.7477,1.3375,,,,missing,True
2026-03-06,2026-03-06T20:15:00+00:00,P1,famalicao,arouca,under_3_5,2.0301,0.8651,0.6707,0.6707,1.491,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al taawon,al-fateh,under_3_5,1.9792,1.0102,0.6496,0.6496,1.5394,,,,missing,False
2026-03-06,2026-03-06T19:45:00+00:00,F1,paris saint germain,monaco,under_3_5,1.3859,1.6053,0.6492,0.6492,1.5403,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,N1,heracles,utrecht,under_3_5,1.1244,2.0026,0.6188,0.6188,1.616,1.05,0.9524,-0.3336,market,False
2026-03-06,2026-03-06T19:45:00+00:00,I1,napoli,torino,under_3_5,2.3083,0.8306,0.6162,0.6162,1.623,1.03,0.9709,-0.3547,market,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al khaleej saihat,al-hazm,under_3_5,2.1875,1.1937,0.5625,0.5625,1.7778,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al-hilal saudi fc,al najma,under_3_5,4.2318,0.6065,0.2897,0.2897,3.4519,,,,missing,False
2026-03-06,2026-03-06T19:30:00+00:00,D1,bayern münchen,borussia mönchengladbach,under_3_5,4.1949,0.6665,0.2862,0.2862,3.4943,,,,missing,False
2026-03-06,2026-03-06T20:00:00+00:00,E1,preston,oxford united,under_4_5,1.228,0.7301,0.951,0.951,1.0515,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al-ahli jeddah,al-ittihad fc,under_4_5,1.4202,0.6085,0.9447,0.9447,1.0585,,,,missing,False
2026-03-06,2026-03-06T20:00:00+00:00,SP1,celta vigo,real madrid,under_4_5,1.1077,1.4386,0.8849,0.8849,1.13,,,,missing,True
2026-03-06,2026-03-06T20:15:00+00:00,P1,famalicao,arouca,under_4_5,2.0301,0.8651,0.8326,0.8326,1.2011,,,,missing,True
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al taawon,al-fateh,under_4_5,1.9792,1.0102,0.817,0.817,1.2239,,,,missing,False
2026-03-06,2026-03-06T19:45:00+00:00,F1,paris saint germain,monaco,under_4_5,1.3859,1.6053,0.8168,0.8168,1.2244,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,N1,heracles,utrecht,under_4_5,1.1244,2.0026,0.7935,0.7935,1.2602,1.11,0.9009,-0.1074,market,False
2026-03-06,2026-03-06T19:45:00+00:00,I1,napoli,torino,under_4_5,2.3083,0.8306,0.7914,0.7914,1.2635,1.06,0.9434,-0.152,market,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al khaleej saihat,al-hazm,under_4_5,2.1875,1.1937,0.7477,0.7477,1.3374,,,,missing,False
2026-03-06,2026-03-06T19:00:00+00:00,SA1,al-hilal saudi fc,al najma,under_4_5,4.2318,0.6065,0.4713,0.4713,2.1217,,,,missing,False
2026-03-06,2026-03-06T19:30:00+00:00,D1,bayern münchen,borussia mönchengladbach,under_4_5,4.1949,0.6665,0.467,0.467,2.1412,,,,missing,False
