run_date,match_date,league,home_team,away_team,side,team,line,model,lambda_our,lambda_bk,lambda_implied_market,lambda_divergence,scaling_factor,elo_multiplier,depletion_multiplier,absent_count,k_dispersion,p_over_raw,p_over,fair_odds_over,fair_odds_under,offered_odds_over,offered_odds_under,implied_probability,edge,ev_over,ev_under,edge_side,odds_source,recommended_status,recommended
2026-05-15,2026-05-15,SP2,cordoba,albacete,home,cordoba,5.5,nb,5.067,9.626,,,1.9,1.013,1.0,0,22.60611047674287,0.8755167996001086,0.9020261308430708,1.1086153336437812,10.206803187472925,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SP2,cordoba,albacete,home,cordoba,4.5,nb,5.067,9.626,,,1.9,1.013,1.0,0,22.60611047674287,0.933781779427446,0.9019553562917229,1.108702324371547,10.199435299855935,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,damac,al fayha,home,damac,3.5,nb,4.08,7.753,,,1.9,1.0,1.0,0,9.522922352678645,0.8872712238706058,0.8981739153256579,1.1133701201258135,9.820666317458615,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,damac,al fayha,home,damac,2.5,nb,4.08,7.753,,,1.9,1.0,1.0,0,9.522922352678645,0.9471274169394039,0.8967296346704812,1.115163323856769,9.683320058074392,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR1,rizespor,besiktas,away,besiktas,3.5,nb,4.29,7.937,,,1.85,1.0,1.0,0,6.435937050805841,0.8683513019530933,0.8957300270863959,1.1164078123547676,9.59048872898988,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,al taawon,al riyadh,away,al riyadh,3.5,nb,4.616,8.77,,,1.9,1.0,1.0,0,6.174408794131873,0.8957556596642848,0.8859218487802818,1.1287677365410713,8.76592046161379,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR1,rizespor,besiktas,away,besiktas,2.5,nb,4.29,7.937,,,1.85,1.0,1.0,0,6.435937050805841,0.9326990841299686,0.8843358866225922,1.1307920611693663,8.645723991650172,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR2,corum,bodrumspor,home,corum,4.5,nb,4.795,8.871,,,1.85,1.0,1.0,0,10.733932245565963,0.8724431392243145,0.8828937580691825,1.1326391095876807,8.539254471087602,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,al taawon,al riyadh,away,al riyadh,2.5,nb,4.616,8.77,,,1.9,1.0,1.0,0,6.174408794131873,0.9477614372004898,0.8825075865835484,1.133134734706701,8.511187836915926,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR2,corum,bodrumspor,home,corum,5.5,nb,4.795,8.871,,,1.85,1.0,1.0,0,10.733932245565963,0.7926306439976293,0.8819524235308199,1.1338480096200505,8.471160780340803,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,RO1,fc arges,fc rapid bucuresti,home,fc arges,2.5,nb,3.87,6.965,,,1.8,0.996,1.0,0,9.573933102652832,0.9253010403959026,0.8751524748252183,1.142658026762383,8.009770306620325,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SP2,castellon,cadiz cf,away,cadiz cf,2.5,nb,3.348,6.362,,,1.9,1.0,1.0,0,14.32487717231204,0.9183442757928837,0.8740580068367372,1.1440888272610803,7.940163363173604,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,RO1,fc arges,fc rapid bucuresti,home,fc arges,3.5,nb,3.87,6.965,,,1.8,0.996,1.0,0,9.573933102652832,0.8475274379387125,0.8730278122042309,1.1454388806642806,7.875740485849305,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SP2,castellon,cadiz cf,away,cadiz cf,3.5,nb,3.348,6.362,,,1.9,1.0,1.0,0,14.32487717231204,0.8284825986073678,0.8729434393022164,1.1455495911617661,7.870510538834727,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,RO1,fc arges,fc rapid bucuresti,away,fc rapid bucuresti,3.5,nb,3.138,5.648,,,1.8,0.959,1.0,0,15.229001928544756,0.7687342905852985,0.8592372029715966,1.1638229775684614,7.104149825882031,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,RO1,fc arges,fc rapid bucuresti,away,fc rapid bucuresti,2.5,nb,3.138,5.648,,,1.8,0.959,1.0,0,15.229001928544756,0.8839120808896535,0.858373997860101,1.1649933507922747,7.0608503021372755,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,B1,leuven,antwerp,away,antwerp,2.5,nb,4.164,7.079,,,1.7,1.0,1.0,0,10.292007815289216,0.9321049438442609,0.8582187326651542,1.1652041163149065,7.053117938622268,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,I2,bari,sudtirol,away,sudtirol,3.5,nb,3.795,7.21,,,1.9,1.037,1.0,0,13.93821097055796,0.8809268027778997,0.8567291915188004,1.1672299834060873,6.979788908856637,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,I2,bari,sudtirol,away,sudtirol,2.5,nb,3.795,7.21,,,1.9,1.037,1.0,0,13.93821097055796,0.9465480867497573,0.8548053556706948,1.1698569661105866,6.887306378408658,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,damac,al fayha,away,al fayha,3.5,nb,3.749,7.123,,,1.9,1.0,1.0,0,6.174408794131873,0.8251999025968018,0.8278928356473733,1.2078857998789747,5.810333368523352,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,damac,al fayha,away,al fayha,2.5,nb,3.749,7.123,,,1.9,1.0,1.0,0,6.174408794131873,0.9065230386832174,0.8275800893495967,1.2083422654427438,5.799794213022119,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,al taawon,al riyadh,home,al taawon,5.5,nb,4.587,8.715,,,1.9,1.0,1.0,0,9.522922352678645,0.774069793081,0.8244355049879527,1.2129511574281517,5.695912490343675,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,B1,leuven,antwerp,home,leuven,3.5,nb,4.585,7.795,,,1.7,1.0,1.0,0,32.830902223410014,0.9327734229096301,0.8220669431608922,1.2164459455758498,5.620091161049569,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,al taawon,al riyadh,home,al taawon,4.5,nb,4.587,8.715,,,1.9,1.0,1.0,0,9.522922352678645,0.8574556124507824,0.8220384022672976,1.2164881801651348,5.619189829381034,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,B1,leuven,antwerp,home,leuven,4.5,nb,4.585,7.795,,,1.7,1.0,1.0,0,32.830902223410014,0.8609693441839449,0.8138051250610784,1.2287954071620613,5.370717106623019,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR2,corum,bodrumspor,away,bodrumspor,3.5,nb,3.43,6.346,,,1.85,1.0,1.0,0,4.287274943927378,0.7425754323950768,0.8022517828863602,1.246491464814421,5.056935605266828,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR2,corum,bodrumspor,away,bodrumspor,2.5,nb,3.43,6.346,,,1.85,1.0,1.0,0,4.287274943927378,0.845367644318953,0.7981854791975446,1.2528416340088642,4.955044840300873,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR1,rizespor,besiktas,home,rizespor,4.5,nb,4.721,8.733,,,1.85,1.0,1.0,0,12.826539851545888,0.8764276845566771,0.7972592992173672,1.2542970661886967,4.932408717833838,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR1,rizespor,besiktas,home,rizespor,5.5,nb,4.721,8.733,,,1.85,1.0,1.0,0,12.826539851545888,0.7949821248188967,0.7968351366733172,1.2549647398517962,4.922110957700549,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,E0,aston villa,liverpool,home,aston villa,4.5,nb,4.331,8.228,,,1.9,1.023,1.0,0,34.39373716204386,0.8878783112713274,0.7924152146671591,1.2619646638410815,4.8173087367487115,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,E0,aston villa,liverpool,away,liverpool,4.5,nb,4.283,8.138,,,1.9,1.039,1.0,0,20.630575613729143,0.8673158021312057,0.7847785952712836,1.2742447437092985,4.646377999718411,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,E0,aston villa,liverpool,home,aston villa,5.5,nb,4.331,8.228,,,1.9,1.023,1.0,0,34.39373716204386,0.7990125429656175,0.7808359975249285,1.2806786612935,4.562793107931781,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,E0,aston villa,liverpool,away,liverpool,5.5,nb,4.283,8.138,,,1.9,1.039,1.0,0,20.630575613729143,0.7742304953529575,0.7778574471947561,1.2855826007790665,4.501613884291304,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR1,rizespor,besiktas,away,besiktas,5.5,nb,4.29,7.937,,,1.85,1.0,1.0,0,6.435937050805841,0.6879110258433123,0.7700394821719194,1.2986347104949347,4.3485725699557,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,TR1,rizespor,besiktas,away,besiktas,4.5,nb,4.29,7.937,,,1.85,1.0,1.0,0,6.435937050805841,0.7845265809225341,0.7577131658605494,1.3197606232224839,4.127339413847142,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,I2,bari,sudtirol,home,bari,5.5,nb,3.926,7.46,,,1.9,0.968,1.0,0,11.989528345595891,0.6879596267174128,0.7548674514642992,1.3247358831808025,4.079425624926187,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,I2,bari,sudtirol,home,bari,4.5,nb,3.926,7.46,,,1.9,0.968,1.0,0,11.989528345595891,0.7972743464316783,0.7532279026906834,1.3276194315529157,4.052322004406153,,,,,,,,missing,watchlist,True
2026-05-15,2026-05-15,SA1,al taawon,al riyadh,away,al riyadh,5.5,nb,4.616,8.77,,,1.9,1.0,1.0,0,6.174408794131873,0.7421728154449354,0.7499476172883122,1.3334264646587402,3.999162052188909,,,,,,,,missing,watchlist,True
