tourney_id,tourney_name,surface,tourney_level,tourney_date,match_date,round,best_of,minutes,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,total_games,w_sets,l_sets,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,w_1stServeIn_pct,w_1stServeWon_pct,w_2ndServeWon_pct,w_aceRate,w_bpSaved_pct,w_returnPtsWon_pct,w_bpConverted_pct,l_1stServeIn_pct,l_1stServeWon_pct,l_2ndServeWon_pct,l_aceRate,l_bpSaved_pct,l_returnPtsWon_pct,l_bpConverted_pct
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201621.0,Mona Barthel,R,185.0,GER,24.5,43.0,1193.0,202499.0,Donna Vekic,R,179.0,CRO,18.5,85.0,667.0,3-6 6-4 6-2,27.0,2.0,1.0,9.0,5.0,76.0,47.0,37.0,13.0,14.0,3.0,6.0,9.0,6.0,91.0,48.0,31.0,20.0,13.0,7.0,11.0,0.618421052631579,0.7872340425531915,0.4482758620689655,0.6428571428571429,0.5,0.4395604395604395,0.3636363636363636,0.5274725274725275,0.6458333333333334,0.4651162790697674,0.6923076923076923,0.6363636363636364,0.3421052631578947,0.5
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201348.0,Casey Dellacqua,L,165.0,AUS,29.9,29.0,1542.0,201423.0,Yvonne Meusburger,R,175.0,AUT,31.2,93.0,616.0,6-4 6-0,16.0,2.0,0.0,4.0,0.0,54.0,27.0,21.0,12.0,8.0,3.0,5.0,0.0,8.0,51.0,34.0,17.0,2.0,8.0,2.0,8.0,0.5,0.7777777777777778,0.4444444444444444,0.5,0.6,0.6274509803921569,0.75,0.6666666666666666,0.5,0.1176470588235294,0.0,0.25,0.3888888888888889,0.4
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201483.0,Madison Brengle,R,168.0,USA,24.7,64.0,852.0,201492.0,Andrea Petkovic,R,180.0,GER,27.3,13.0,2780.0,5-7 7-6(4) 6-3,21.0,1.0,1.0,3.0,6.0,105.0,62.0,44.0,16.0,18.0,6.0,13.0,0.0,4.0,91.0,58.0,35.0,13.0,16.0,0.0,7.0,0.5904761904761905,0.7096774193548387,0.3720930232558139,0.1666666666666666,0.4615384615384615,0.4725274725274725,1.0,0.6373626373626373,0.603448275862069,0.3939393939393939,0.0,0.0,0.4285714285714285,0.5384615384615384
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,201458.0,Victoria Azarenka,R,180.0,BLR,25.4,44.0,1188.0,201366.0,Barbora Strycova,R,164.0,CZE,28.8,23.0,1870.0,6-4 6-4,20.0,2.0,0.0,0.0,4.0,75.0,55.0,32.0,8.0,10.0,9.0,13.0,1.0,0.0,55.0,29.0,16.0,11.0,10.0,4.0,10.0,0.7333333333333333,0.5818181818181818,0.4,0.0,0.6923076923076923,0.509090909090909,0.6,0.5272727272727272,0.5517241379310345,0.4230769230769231,0.1,0.4,0.4666666666666667,0.3076923076923077
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,201619.0,Madison Keys,R,178.0,USA,19.9,35.0,1390.0,201520.0,Petra Kvitova,L,183.0,CZE,24.8,4.0,6360.0,6-4 7-5,22.0,2.0,0.0,4.0,4.0,60.0,34.0,21.0,15.0,11.0,1.0,4.0,1.0,6.0,66.0,34.0,20.0,13.0,11.0,6.0,11.0,0.5666666666666667,0.6176470588235294,0.5769230769230769,0.3636363636363636,0.25,0.5,0.4545454545454545,0.5151515151515151,0.5882352941176471,0.40625,0.0909090909090909,0.5454545454545454,0.4,0.75
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,201483.0,Madison Brengle,R,168.0,USA,24.7,64.0,852.0,201535.0,Coco Vandeweghe,R,185.0,USA,23.1,37.0,1295.0,6-3 6-2,17.0,2.0,0.0,2.0,1.0,71.0,44.0,27.0,16.0,9.0,7.0,8.0,4.0,2.0,52.0,22.0,11.0,15.0,8.0,4.0,8.0,0.6197183098591549,0.6136363636363636,0.5925925925925926,0.2222222222222222,0.875,0.5,0.5,0.4230769230769231,0.5,0.5,0.5,0.5,0.3943661971830985,0.125
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,200748.0,Venus Williams,R,185.0,USA,34.5,18.0,2370.0,202429.0,Camila Giorgi,R,168.0,ITA,23.0,33.0,1395.0,4-6 7-6(3) 6-1,17.0,1.0,1.0,8.0,4.0,94.0,61.0,39.0,17.0,14.0,7.0,11.0,2.0,16.0,124.0,66.0,39.0,24.0,16.0,15.0,21.0,0.648936170212766,0.639344262295082,0.5151515151515151,0.5714285714285714,0.6363636363636364,0.4919354838709677,0.2857142857142857,0.532258064516129,0.5909090909090909,0.4137931034482758,0.125,0.7142857142857143,0.4042553191489361,0.3636363636363636
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,201474.0,Agnieszka Radwanska,R,170.0,POL,25.8,6.0,4810.0,201478.0,Varvara Lepchenko,L,180.0,USA,28.6,30.0,1480.0,6-0 7-5,18.0,2.0,0.0,5.0,0.0,50.0,30.0,25.0,12.0,9.0,2.0,3.0,1.0,3.0,63.0,36.0,21.0,10.0,9.0,4.0,9.0,0.6,0.8333333333333334,0.6,0.5555555555555556,0.6666666666666666,0.5079365079365079,0.5555555555555556,0.5714285714285714,0.5833333333333334,0.3703703703703703,0.1111111111111111,0.4444444444444444,0.26,0.3333333333333333
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R32,3.0,,201504.0,Julia Goerges,R,180.0,GER,26.2,73.0,740.0,201556.0,Lucie Hradecka,R,177.0,CZE,29.6,142.0,393.0,7-6(6) 7-5,12.0,1.0,0.0,2.0,2.0,78.0,47.0,34.0,19.0,12.0,1.0,3.0,2.0,3.0,79.0,54.0,41.0,11.0,13.0,6.0,9.0,0.6025641025641025,0.723404255319149,0.6129032258064516,0.1666666666666666,0.3333333333333333,0.3417721518987341,0.3333333333333333,0.6835443037974683,0.7592592592592593,0.44,0.1538461538461538,0.6666666666666666,0.3205128205128205,0.6666666666666666
2015-W-SL-AUS-01A-2015,Australian Open,Hard,G,20150119.0,2015-01-19,R128,3.0,,201593.0,Irina Camelia Begu,R,181.0,ROU,24.3,42.0,1201.0,201493.0,Angelique Kerber,L,173.0,GER,27.0,9.0,3360.0,6-4 0-6 6-1,23.0,2.0,1.0,5.0,5.0,86.0,50.0,27.0,15.0,12.0,5.0,11.0,0.0,4.0,92.0,63.0,32.0,14.0,11.0,11.0,17.0,0.5813953488372093,0.54,0.4166666666666667,0.4166666666666667,0.4545454545454545,0.5,0.3529411764705882,0.6847826086956522,0.5079365079365079,0.4827586206896552,0.0,0.6470588235294118,0.5116279069767442,0.5454545454545454
