surface,market,n,p_mean,y_mean,gap_raw,log_loss_raw,log_loss_cal,brier_raw,brier_cal
Clay,match_winner,4752,0.5,0.5,0.0,0.6318954173125132,0.631731809282434,0.22096687368013931,0.2208875392935726
Clay,set1_over_7_5,2369,0.8817982025160251,0.8290417897847193,0.052756412731305824,0.46956846693656235,0.4552493007205085,0.14396729813974904,0.14107611860809519
Clay,set1_over_9_5,2369,0.4690720104784,0.4352047277332208,0.03386728274517925,0.6843379686436397,0.6816318012221038,0.2456617440777188,0.24430950725173786
Clay,tiebreak,2369,0.13271342156713126,0.10468552131701139,0.028027900250119864,0.4110367416993701,0.334662657245305,0.10781166199029675,0.09359766662679599
Grass,match_winner,500,0.49999999999999994,0.5,-5.551115123125783e-17,0.6257277582527064,0.6249348626340244,0.21870236485094063,0.21868119312487214
Grass,set1_over_7_5,248,0.9260249469194903,0.8709677419354839,0.05505720498400646,0.4041563447551305,0.38122559049290833,0.11523788543063991,0.11178759162235989
Grass,set1_over_9_5,248,0.5327130754695699,0.4637096774193548,0.0690033980502151,0.7067870707714319,0.6904623853759867,0.25675228598371397,0.24865825635794886
Grass,tiebreak,230,0.22643533842778396,0.14782608695652175,0.07860925147126221,0.469641314901933,0.3997023218641036,0.14997159161793794,0.12201598039560387
Hard,match_winner,19398,0.5,0.5,0.0,0.627244788919874,0.6270251652375999,0.21917818062371253,0.21902637695933685
Hard,set1_over_7_5,9654,0.8908821757323417,0.8346799254195152,0.05620225031282655,0.46434295552831667,0.4463811925090185,0.14081613343389035,0.13741683730815354
Hard,set1_over_9_5,9654,0.48021468747243395,0.4314273876113528,0.04878729986108116,0.6886974539173556,0.6821764508680965,0.24776858859174,0.24454462292692186
Hard,tiebreak,9654,0.2109562390693348,0.1181893515641185,0.0927668875052163,0.46889152347703783,0.3626359001857557,0.14466013348981008,0.10410331698260783
