league,market,n,p_mean,y_mean,gap_raw,log_loss_raw,log_loss_cal,brier_raw,brier_cal
B1,under_3_5,728,0.6989364398950438,0.6978021978021978,0.0011342420928460717,0.7045396049205291,0.6126079211785815,0.2221081293649509,0.2108098843318018
B1,under_4_5,728,0.8403007650451839,0.842032967032967,-0.0017322019877831218,0.5181668254646121,0.43588370082555594,0.13673381624886172,0.13276719528153222
B2,under_3_5,662,0.6691835421429262,0.6525679758308157,0.016615566312110475,0.6907743777320939,0.6451665461431243,0.24213707585045052,0.22641539392430354
B2,under_4_5,662,0.8192112034641659,0.8368580060422961,-0.017646802578130227,0.4895712998264147,0.4448202761227208,0.14915858079845196,0.1365193311543433
D1,under_3_5,1159,0.6090721889287375,0.5944779982743744,0.01459419065436307,0.6844554194769591,0.6681759075049822,0.24079303398823576,0.23697098098933972
D1,under_4_5,1159,0.7758033209574254,0.7886108714408974,-0.01280755048347193,0.5360915310763245,0.5136698066849991,0.16956224475364712,0.16557846501009615
D2,under_3_5,1152,0.6369085472399877,0.6579861111111112,-0.021077563871123473,0.6854366121521781,0.6423607310818645,0.240048426347837,0.22503969256892717
D2,under_4_5,1152,0.7980879394488323,0.8263888888888888,-0.028300949440056566,0.49229456767741264,0.4613433658231751,0.15206969945614157,0.14339385690635725
DK1,under_3_5,541,0.627723206047114,0.6321626617375231,-0.004439455690409155,0.6883461023467697,0.6510262499873974,0.24376948618623623,0.22959886549631076
DK1,under_4_5,541,0.784921285868585,0.8022181146025879,-0.017296828734002845,0.5601108236768915,0.49600181094760226,0.1678282578848191,0.15845298533984759
E0,under_3_5,1424,0.6578756969460996,0.6509831460674157,0.006892550878683901,0.6616882394436259,0.6435328998876578,0.2322323375321631,0.22566476635487587
E0,under_4_5,1424,0.8147036497183024,0.827247191011236,-0.012543541292933558,0.4740889614596589,0.45799321844180146,0.1471440665256753,0.1422498000635446
E1,under_3_5,2017,0.7449269720802529,0.7575607337630144,-0.012633761682761424,0.571281901389764,0.5524382462508234,0.18964962539955185,0.18310638338807003
E1,under_4_5,2017,0.8768105607942128,0.9008428358948934,-0.024032275100680622,0.3314549787395264,0.3205279581461607,0.0918675815680605,0.0888117432866851
F1,under_3_5,577,0.6541956652676071,0.6672443674176777,-0.01304870215007059,0.6607838520659466,0.6299455855112985,0.22888153087432672,0.21910856728179018
F1,under_4_5,577,0.8056087559221683,0.8457538994800693,-0.040145143557901,0.45037307816413197,0.4240793522072529,0.13731171191266187,0.128713234885724
I1,under_3_5,886,0.7397472827340449,0.7483069977426636,-0.00855971500861874,0.6085096486197512,0.5632840735800669,0.2032232952803597,0.18802658163326963
