run_date,match_date,league,home_team,away_team,market,lam_home,lam_away,p_raw,p_cal,fair_odds,offered_odds,implied_probability,edge,odds_source,recommended
2026-03-08,2026-03-08T19:00:00+00:00,N1,nec nijmegen,fc volendam,over_2_5,2.6749,1.2246,0.7468,0.7468,1.3391,,,,missing,True
2026-03-08,2026-03-08T14:00:00+00:00,F1,lens,metz,over_2_5,3.3355,0.5171,0.7393,0.7393,1.3526,,,,missing,True
2026-03-08,2026-03-08T17:00:00+00:00,RS1,vojvodina,fk partizan,over_2_5,2.0687,1.4853,0.689,0.689,1.4513,,,,missing,True
2026-03-08,2026-03-08T13:00:00+00:00,SP1,villarreal,elche,over_2_5,2.5487,0.969,0.6824,0.6824,1.4654,,,,missing,True
2026-03-08,2026-03-08T13:00:00+00:00,RS1,radnik surdulica,radnicki nis,under_3_5,1.2275,0.8768,0.8378,0.8378,1.1935,,,,missing,True
2026-03-08,2026-03-08T15:00:00+00:00,RO1,arges pitesti,unirea slobozia,under_3_5,1.7547,0.5858,0.7911,0.7911,1.2641,,,,missing,True
2026-03-08,2026-03-08T16:30:00+00:00,D1,union berlin,werder bremen,under_3_5,1.5031,0.8469,0.7891,0.7891,1.2673,,,,missing,True
2026-03-08,2026-03-08T17:30:00+00:00,SP1,sevilla,rayo vallecano,under_3_5,1.3563,1.0823,0.7706,0.7706,1.2976,,,,missing,True
2026-03-08,2026-03-08T13:30:00+00:00,N1,go ahead eagles,twente,under_3_5,1.0691,1.3703,0.7704,0.7704,1.2979,,,,missing,True
2026-03-08,2026-03-08T15:30:00+00:00,P1,estrela,gil vicente,under_3_5,0.8443,1.8281,0.7202,0.7202,1.3885,,,,missing,True
2026-03-08,2026-03-08T12:30:00+00:00,RO1,oţelul,afc hermannstadt,under_3_5,2.0275,0.7111,0.7056,0.7056,1.4173,,,,missing,True
2026-03-08,2026-03-08T15:00:00+00:00,RO1,arges pitesti,unirea slobozia,under_4_5,1.7547,0.5858,0.9114,0.9114,1.0972,,,,missing,True
2026-03-08,2026-03-08T16:30:00+00:00,D1,union berlin,werder bremen,under_4_5,1.5031,0.8469,0.9103,0.9103,1.0985,,,,missing,True
2026-03-08,2026-03-08T17:30:00+00:00,SP1,sevilla,rayo vallecano,under_4_5,1.3563,1.0823,0.8992,0.8992,1.1121,,,,missing,True
2026-03-08,2026-03-08T13:30:00+00:00,N1,go ahead eagles,twente,under_4_5,1.0691,1.3703,0.8991,0.8991,1.1122,,,,missing,True
2026-03-08,2026-03-08T15:30:00+00:00,P1,estrela,gil vicente,under_4_5,0.8443,1.8281,0.867,0.867,1.1534,,,,missing,True
2026-03-08,2026-03-08T12:30:00+00:00,RO1,oţelul,afc hermannstadt,under_4_5,2.0275,0.7111,0.8571,0.8571,1.1667,,,,missing,True
2026-03-08,2026-03-08T16:30:00+00:00,E1,qpr,middlesbrough,under_4_5,1.0832,1.7294,0.8457,0.8457,1.1824,,,,missing,True
2026-03-08,2026-03-08T15:45:00+00:00,N1,nac breda,feyenoord,under_4_5,1.0255,1.8319,0.8386,0.8386,1.1924,,,,missing,True
2026-03-08,2026-03-08T15:00:00+00:00,RS1,fk spartak zdrepceva krv,imt novi beograd,under_4_5,1.6128,1.2884,0.8316,0.8316,1.2025,,,,missing,True
2026-03-08,2026-03-08T19:45:00+00:00,F1,lyon,paris fc,under_4_5,2.1889,0.7445,0.8263,0.8263,1.2101,,,,missing,True
