run_date,match_date,tournament,level,surface,round,player_a,player_b,seed_a,seed_b,player_a_id,player_b_id,p_serve_a,p_serve_b,p_hold_a,p_hold_b,p_set_a,expected_games,p_straight_sets_a,p_three_sets,market,p_raw,p_cal,fair_odds,odds_source,recommended
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,1,3,214544,214981,0.6024,0.6102,0.7408,0.7566,0.4824,25.06,0.2376,0.5016,match_winner,0.4736,0.4876,2.0508,missing,False
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,1,3,214544,214981,0.6024,0.6102,0.7408,0.7566,0.4824,25.06,0.2376,0.5016,total_games_over_19.5,0.7841,0.354,2.8248,missing,False
2026-03-15,2026-03-15T11:00-07:00,INDIAN WELLS,WTA 1000,Hard,1,Aryna Sabalenka,Elena Rybakina,1,3,214544,214981,0.6024,0.6102,0.7408,0.7566,0.4824,25.06,0.2376,0.5016,total_games_under_19.5,0.2159,0.646,1.548,missing,True
