league,market,method,a,b,temperature,n_train
__GLOBAL__,1X,platt,0.16327400449803542,0.8704321502136968,0.9999962145563718,7727
D1,1X,platt,0.2328822962283691,0.7044582425913581,0.9999978380723769,474
D2,1X,platt,0.3495840623788524,0.5209339582549601,0.9999997518937688,416
DK1,1X,platt,0.3395614892404722,0.8152333134601901,1.000002889145796,222
E0,1X,platt,-0.24550296980696346,1.2910655409632923,0.9999708162606165,398
E1,1X,platt,0.3318093565213805,0.6628097034108968,0.9999887667498305,759
F1,1X,platt,0.02547508543523912,0.9522722728671452,1.000021720861807,389
I1,1X,platt,0.1578787694476472,1.010057562329421,1.0000177239837749,562
I2,1X,platt,0.48620926956027416,0.6865364345190066,1.0000004542800678,482
N1,1X,platt,0.09055824646239818,0.9867077655529793,1.0000213026510463,453
P1,1X,platt,0.17008835937035066,1.0490093579453093,1.0000342452489235,416
RO1,1X,platt,0.2210070199050935,0.9242645923121874,1.0000019324847782,587
RS1,1X,platt,0.048713715728535785,0.7754483242542412,1.0000387305111365,530
SA1,1X,platt,0.037640861584452415,0.9845557684843532,0.9999991317846577,694
SP1,1X,platt,-0.14983252527314112,1.1672761629756967,0.999997497452559,435
SP2,1X,platt,0.5797972090676665,0.4504165123318057,1.0000017307570668,541
SW1,1X,platt,0.2544137446103768,0.7312590641577673,0.9999916213117841,369
__GLOBAL__,X2,platt,0.05728130648689401,0.8426344810065951,0.999990313784089,7727
D1,X2,platt,0.19047176310770456,1.0301201010792775,1.0000000576880972,474
D2,X2,platt,0.1133576330533318,0.7013931466437688,1.0000030828848048,416
DK1,X2,platt,-0.13690643268164757,0.7288040195159358,1.000000483181171,222
E0,X2,platt,-0.022353851255226796,1.0709433936808197,0.9999752772920447,398
E1,X2,platt,-0.05888094350090433,0.6663606315598358,0.999997746131646,759
F1,X2,platt,-0.03741291337405987,0.9979030467060078,0.9999992768625277,389
I1,X2,platt,0.07161947198628213,0.8621893399087179,0.9999976533006812,562
I2,X2,platt,0.17697941308577889,0.7691311530071177,1.0000221601547024,482
N1,X2,platt,0.006624934758556968,0.938680141150127,1.0000213716258668,453
P1,X2,platt,0.026459697485766452,0.8915917393062625,1.0000011063050591,416
RO1,X2,platt,0.3214907673661807,1.1775387231321073,0.9999622258410925,587
RS1,X2,platt,0.23648734512232014,0.534677591078556,0.9999994956983589,530
SA1,X2,platt,-0.06890110836689428,0.8603504748061718,0.9999897215546968,694
SP1,X2,platt,0.03400377663971424,1.3913675415306774,0.9999885066170843,435
SP2,X2,platt,0.09719843259061507,0.5313969889713622,1.0000891272886294,541
SW1,X2,platt,0.040004185519661506,0.6290437316978883,1.0000052529183177,369
