run_date,match_date,league,home_team,away_team,model,lambda_corners,k_dispersion,p_under_12_5_raw,p_under_12_5_cal,p_under_12_5,fair_odds_under_12_5,offered_odds_under_12_5,implied_probability,edge,odds_source,recommended
2026-04-04,2026-04-04,SP2,cultural leonesa,valladolid,nb,8.920267084001653,200.0,0.8767579004410192,0.9074216135749266,0.9074216135749266,1.1020235632919815,,,,missing,True
2026-04-04,2026-04-04,SP2,albacete,burgos cf,nb,9.044913896832032,200.0,0.867678868574168,0.9017772287371537,0.9017772287371537,1.1089213257251984,,,,missing,True
2026-04-04,2026-04-04T14:15:00+00:00,SP2,albacete,burgos cf,nb,9.044913896832032,200.0,0.867678868574168,0.9017772287371537,0.9017772287371537,1.1089213257251984,,,,missing,True
2026-04-04,2026-04-04,I1,lazio,parma,nb,8.069436018883454,56.34965946347613,0.9195291565943472,0.8853050280454192,0.8853050280454192,1.1295541856435685,,,,missing,True
2026-04-04,2026-04-04,SP2,dep. la coruna,malaga,nb,9.453239663000515,200.0,0.8354916948207572,0.8820496316343804,0.8820496316343804,1.1337230515555743,,,,missing,True
2026-04-04,2026-04-04T16:30:00+00:00,SP2,dep. la coruna,malaga,nb,9.453239663000515,200.0,0.8354916948207572,0.8820496316343804,0.8820496316343804,1.1337230515555743,,,,missing,True
2026-04-04,2026-04-04,P1,moreirense,braga,nb,8.162475039902617,51.35704386225455,0.9131716175845258,0.8811588374154116,0.8811588374154116,1.1348691717524728,,,,missing,True
2026-04-04,2026-04-04T17:00:00+00:00,P1,moreirense,braga,nb,8.162475039902617,51.35704386225455,0.9131716175845258,0.8811588374154116,0.8811588374154116,1.1348691717524728,,,,missing,True
2026-04-04,2026-04-04,I1,hellas verona,fiorentina,nb,8.198389382765088,56.34965946347613,0.9123877682979205,0.8798736202762028,0.8798736202762028,1.136526856761643,,,,missing,True
2026-04-04,2026-04-04T16:00:00+00:00,I1,hellas verona,fiorentina,nb,8.198389382765088,56.34965946347613,0.9123877682979205,0.8798736202762028,0.8798736202762028,1.136526856761643,,,,missing,True
2026-04-04,2026-04-04,I1,sassuolo,cagliari,nb,8.211547889283622,56.34965946347613,0.91163836194471,0.8793150327069817,0.8793150327069817,1.13724883893033,,,,missing,True
2026-04-04,2026-04-04,SP2,cadiz cf,cordoba,nb,9.732620450378953,200.0,0.811431739546555,0.8674895255800176,0.8674895255800176,1.1527516707840175,,,,missing,True
2026-04-04,2026-04-04T12:00:00+00:00,SP2,cadiz cf,cordoba,nb,9.732620450378953,200.0,0.811431739546555,0.8674895255800176,0.8674895255800176,1.1527516707840175,,,,missing,True
2026-04-04,2026-04-04,D2,arminia bielefeld,darmstadt,nb,10.506130921042136,12.0,0.7027665107363261,0.85229445725193,0.85229445725193,1.1733034181922524,,,,missing,True
2026-04-04,2026-04-04T11:00:00+00:00,D2,arminia bielefeld,darmstadt,nb,10.506130921042136,12.0,0.7027665107363261,0.85229445725193,0.85229445725193,1.1733034181922524,,,,missing,True
2026-04-04,2026-04-04,D2,sg dynamo dresden,hertha berlin,nb,10.38748095454618,12.0,0.7124176599325502,0.8467936732005604,0.8467936732005604,1.180925214309145,,,,missing,True
2026-04-04,2026-04-04T18:30:00+00:00,D2,sg dynamo dresden,hertha berlin,nb,10.38748095454618,12.0,0.7124176599325502,0.8467936732005604,0.8467936732005604,1.180925214309145,,,,missing,True
2026-04-04,2026-04-04,P1,porto,famalicão,nb,8.968628244680392,51.35704386225455,0.860794401502185,0.8404944142234794,0.8404944142234794,1.189775902227602,,,,missing,True
2026-04-04,2026-04-04,F1,lille,lens,nb,9.052932254548228,70.72132946781277,0.8589409844730264,0.8352006512570839,0.8352006512570839,1.1973170740406776,,,,missing,True
2026-04-04,2026-04-04,RO1,otelul,fc hermannstadt,nb,9.082017080225091,108.71256454389014,0.861062291478443,0.8349106056234423,0.8349106056234423,1.1977330186784279,,,,missing,True
2026-04-04,2026-04-04T12:00:00+00:00,RO1,otelul,fc hermannstadt,nb,9.082017080225091,108.71256454389014,0.861062291478443,0.8349106056234423,0.8349106056234423,1.1977330186784279,,,,missing,True
2026-04-04,2026-04-04,F1,stade brestois,stade rennais,nb,9.167544941305927,70.72132946781277,0.8502214630045389,0.8319506861630661,0.8319506861630661,1.20199432085569,,,,missing,True
