scope,model,lookback_days,retrain_days,n,hit_rate,log_loss,brier,p_mean,y_mean
corners_under_12_5_walk_forward,nb,365,30,11946,0.7908923489033987,0.5114211919926536,0.16507718305192973,0.7831003066482931,0.7912271890172443
corners_under_12_5_walk_forward_calibrated,nb,365,30,11946,0.7912271890172443,0.5057057430849099,0.1630139401638625,0.791226563455694,0.7912271890172443
