event_id,source,match_date,surface,tourney_name,round,winner_name,loser_name,winner_id,loser_id,score,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
zNuqMzQ8,flashscore,2026-03-18,Hard,Miami,R128,Zeynep Sonmez,Maia Beatriz Haddad,220309.0,,6-3 6-2,3,2,56,32,20,6,8,4,7,1,7,63,29,11,5,9,7,14
xWkk0g3k,flashscore,2026-03-18,Hard,Miami,R128,Sorana Cirstea,Shuai Zhang,201514.0,201533.0,3-6 4-6,14,5,71,41,32,9,10,4,6,0,4,57,33,18,11,9,5,9
jgM1MqKi,flashscore,2026-03-17,Hard,Miami,R128,Katie Boulter,Maneiro Jessica Bouzas,211107.0,,7-6 6-4,4,3,79,46,30,14,11,3,7,3,10,82,52,28,13,11,4,9
EBTM96zn,flashscore,2026-03-17,Hard,Miami,R128,Laura Siegemund,Marcinko Petra,201696.0,,6-4 6-4,1,4,59,37,27,10,10,3,5,2,4,70,42,24,13,10,7,11
EVZMEhIr,flashscore,2026-03-17,Hard,Miami,R128,Mccartney Kessler,Magdalena Frech,220520.0,211684.0,2-6 6-4 6-2,1,3,72,51,36,11,13,0,2,4,0,74,49,37,9,13,2,5
OQjeZYZq,flashscore,2026-03-17,Hard,Miami,F,Yulia Starodubtsewa,Mary Stoiana,,0.0,2-6 2-6,2,0,47,27,20,16,8,4,4,2,2,36,22,13,4,8,0,4
0hg4xQZO,flashscore,2026-03-17,Hard,Miami,F,Sinja Kraus,Darja Semenistaja,221257.0,221985.0,2-6 3-6,0,1,49,29,17,13,8,2,4,0,1,54,30,16,8,9,3,9
A5Hnbtdo,flashscore,2026-03-17,Hard,Miami,F,Viktorija Golubic,Nikola Bartunkova,203530.0,223360.0,6-3 3-6 7-6,1,4,100,78,47,12,15,1,5,8,6,102,63,44,17,15,8,12
WWNHI1JG,flashscore,2026-03-17,Hard,Miami,R128,Magda Linette,Varvara Gracheva,202663.0,219875.0,2-6 6-2 6-0,4,1,67,41,24,13,11,5,9,3,5,91,57,32,10,11,12,19
G4TDdTKt,flashscore,2026-03-17,Hard,Miami,F,Elvina Kalieva,Diane Parry,220722.0,220348.0,6-4 6-0,4,4,47,29,22,10,8,4,5,3,4,50,26,19,5,8,1,6
nqYUCWne,flashscore,2026-03-17,Hard,Miami,R128,Ajla Tomljanovic,Simona Waltert,201548.0,215899.0,3-6 4-6,3,2,67,48,36,9,10,5,6,1,0,76,47,26,17,9,8,11
IFK6CNcC,flashscore,2026-03-17,Hard,Miami,F,Lulu Radovcic,Donna Vekic,,202499.0,6-3 6-3,9,5,56,28,19,14,9,2,4,0,8,54,28,18,8,9,4,9
QFlDk3kU,flashscore,2026-03-17,Hard,Miami,R128,Elsa Jacquemot,Darja Vidmanova,221039.0,0.0,7-6 5-7 5-7,1,17,124,77,52,16,18,6,12,2,3,114,70,42,19,18,6,14
Ecb2DI0d,flashscore,2026-03-17,Hard,Miami,F,Rebeka Masarova,Ella Seidel,214119.0,230870.0,1-6 7-5 5-7,11,4,113,77,52,17,16,12,16,5,8,94,61,37,14,15,4,10
p0Ry9pcc,flashscore,2026-03-17,Hard,Miami,F,Kimberly Birrell,Yue 1998 Yuan,214040.0,,6-2 2-6 6-4,5,2,81,50,35,15,13,11,15,1,2,101,57,34,21,13,9,14
ptk0fQQ6,flashscore,2026-03-17,Hard,Miami,F,Linda Fruhvirtova,Varvara Lepchenko,222258.0,201478.0,3-6 2-6,3,3,62,38,30,11,9,3,4,2,0,58,39,24,6,8,2,6
QwTi52dM,flashscore,2026-03-17,Hard,Miami,F,Talia Gibson,Kamilla Rakhimova,221883.0,215872.0,3-6 4-6,8,2,59,35,26,11,9,4,6,3,5,80,51,30,11,10,4,9
4xIs66Ik,flashscore,2026-03-17,Hard,Miami,F,Katie Volynets,Bianca Andreescu,220465.0,215370.0,7-5 6-2,0,1,61,48,34,5,10,5,7,3,2,70,41,20,13,10,6,11
rT4j4GCL,flashscore,2026-03-17,Hard,Miami,F,Anastasia Zakharova,Rebecca Sramkova,220435.0,211685.0,6-3 6-2,0,1,48,36,28,7,8,0,0,6,2,61,38,24,7,9,3,7
Cvu2vwnT,flashscore,2026-03-17,Hard,Miami,F,Aliaksandra Sasnovich,Renata Zarazua,205925.0,213887.0,3-6 4-6,5,5,85,46,32,21,10,10,11,0,2,59,43,26,8,9,2,5
WrI5c9X1,flashscore,2026-03-17,Hard,Miami,SF,Yulia Starodubtsewa,Maddison Inglis,,213666.0,6-7 5-7,6,4,103,67,44,19,12,9,11,4,3,79,45,33,15,12,4,7
td0oAnH7,flashscore,2026-03-17,Hard,Miami,SF,Mary Stoiana,Kaja Juvan,0.0,215219.0,6-4 4-6 0-3,1,4,99,63,36,18,12,14,18,3,0,58,39,21,9,11,1,6
Y5RB8Zu3,flashscore,2026-03-17,Hard,Miami,SF,Nikola Bartunkova,Caroline Dolehide,223360.0,214452.0,3-6 6-3 3-6,4,4,90,51,36,20,14,8,11,3,0,78,52,34,13,13,6,10
YoyInhJq,flashscore,2026-03-17,Hard,Miami,SF,Sinja Kraus,Lola Radivojevic,221257.0,236957.0,6-7 3-6,6,6,81,48,30,17,11,5,9,7,4,68,39,26,11,10,5,10
AyxoYh4j,flashscore,2026-03-16,Hard,Miami,SF,Viktorija Golubic,Thea Frodin,203530.0,0.0,2-6 6-3 6-2,0,2,75,56,31,8,13,5,11,10,10,78,41,26,13,12,6,13
CfFkd5jt,flashscore,2026-03-16,Hard,Miami,SF,Ella Seidel,Marina Stakusic,230870.0,222233.0,6-4 7-5,3,6,91,45,30,25,11,14,16,6,5,77,42,29,13,11,3,7
tU5vWTwR,flashscore,2026-03-16,Hard,Miami,SF,Darja Semenistaja,Monika Ekstrand,221985.0,0.0,6-0 6-4,1,1,49,29,20,13,8,1,2,4,1,51,31,15,9,8,2,7
SnTR4iuS,flashscore,2026-03-16,Hard,Miami,SF,Donna Vekic,Whitney Osuigwe,202499.0,215992.0,4-6 2-6,2,7,58,29,24,14,9,4,5,0,5,58,32,13,15,9,1,5
Y32WXk9E,flashscore,2026-03-16,Hard,Miami,SF,Diane Parry,Lucrezia Stefanini,220348.0,214593.0,2-6 6-4 5-7,5,5,102,59,39,17,15,10,15,0,8,127,90,51,12,15,10,17
8ON7BO05,flashscore,2026-03-16,Hard,Miami,SF,Elvina Kalieva,Marina Melnikova,220722.0,203379.0,4-6 2-6,3,4,53,25,19,20,9,6,7,0,4,63,48,25,5,9,3,7
p8DcfqLh,flashscore,2026-03-16,Hard,Miami,SF,Lulu Radovcic,Maria Timofeeva,,221237.0,6-4 7-6,7,3,76,41,32,19,11,3,5,7,2,82,60,38,11,11,5,8
8r2wC8ne,flashscore,2026-03-16,Hard,Miami,SF,Rebeka Masarova,Storm Sanders,214119.0,,2-6 6-4 2-6,6,1,69,45,31,15,13,2,5,0,3,80,54,30,12,13,2,8
0IbVDUHr,flashscore,2026-03-16,Hard,Miami,SF,Renata Zarazua,Martina Trevisan,213887.0,203354.0,4-6 6-3 6-3,2,1,93,71,45,9,14,2,7,2,8,104,67,39,14,14,8,15
UZ7aJjfL,flashscore,2026-03-16,Hard,Miami,SF,Bianca Andreescu,Suzan Lamens,215370.0,215480.0,4-6 6-1 7-5,5,2,95,65,43,18,15,1,3,1,6,85,55,37,14,14,4,8
zLfwXM9a,flashscore,2026-03-16,Hard,Miami,SF,Anastasia Zakharova,Louisa Chirico,220435.0,211635.0,6-2 6-1,2,1,54,42,27,6,7,8,9,2,2,49,39,16,3,8,6,12
KMPJ6DAF,flashscore,2026-03-16,Hard,Miami,SF,Rebecca Sramkova,Erika Andreeva,211685.0,222965.0,4-6 2-6,3,0,53,38,25,9,9,0,1,5,3,56,35,20,8,9,4,8
23pnhEeM,flashscore,2026-03-16,Hard,Miami,SF,Aliaksandra Sasnovich,Ayla Aksu,205925.0,213767.0,4-6 4-6,6,0,54,36,27,10,10,2,4,1,1,71,44,23,14,10,6,10
xrUWeddc,flashscore,2026-03-16,Hard,Miami,SF,Kimberly Birrell,Viktoriya Tomova,214040.0,202600.0,6-3 6-2,2,3,48,29,20,7,8,1,3,3,3,70,53,28,4,9,5,11
WOB5hNk5,flashscore,2026-03-16,Hard,Miami,SF,Kamilla Rakhimova,Leolia Jeanjean,215872.0,206417.0,6-7 7-5 6-0,3,7,117,60,40,29,15,10,13,6,6,88,57,33,16,15,10,17
tCvQpWmd,flashscore,2026-03-16,Hard,Miami,SF,Yue 1998 Yuan,Reese Brantmeier,,0.0,7-6 4-6 2-6,3,1,89,59,45,21,15,2,3,7,0,98,57,42,18,15,5,9
x0iAQ71l,flashscore,2026-03-16,Hard,Miami,SF,Linda Fruhvirtova,Madison Brengle,222258.0,201483.0,4-6 7-6 3-6,6,7,95,55,36,19,15,4,9,0,3,116,93,45,11,16,7,15
dM9iLCP8,flashscore,2026-03-16,Hard,Miami,SF,Talia Gibson,Ekaterine Gorgodze,221883.0,202493.0,3-6 2-6,11,4,47,28,24,12,9,0,0,3,1,54,40,24,7,8,1,4
UknvfzR9,flashscore,2026-03-16,Hard,Miami,SF,Varvara Lepchenko,Kasintseva Victoria Jimenez,201478.0,,2-6 6-1 1-6,3,1,93,63,41,10,11,11,13,3,5,92,54,31,18,11,10,14
pQfIOoW0,flashscore,2026-03-16,Hard,Miami,SF,Katie Volynets,Priscilla Hon,220465.0,211880.0,6-1 6-7 6-3,5,1,96,76,54,10,15,7,8,0,1,95,63,43,13,13,8,12
rVLW9tkS,flashscore,2026-03-15,Hard,Indian Wells,F,Aryna Sabalenka,Elena Rybakina,214544.0,214981.0,3-6 6-3 7-6,10,3,108,60,40,27,15,6,9,12,2,96,56,35,28,15,5,8
84LSngGG,flashscore,2026-03-14,Hard,Indian Wells,SF,Elena Rybakina,Elina Monfils,214981.0,,7-5 6-4,6,1,75,46,36,11,11,7,9,6,8,85,50,32,15,11,7,11
CKrWRxM0,flashscore,2026-03-14,Hard,Indian Wells,SF,Aryna Sabalenka,Linda Noskova,214544.0,222328.0,6-3 6-4,11,2,58,38,28,12,10,2,3,5,6,78,46,28,14,9,7,10
nksbxpbU,flashscore,2026-03-13,Hard,Indian Wells,QF,Elena Rybakina,Jessica Pegula,214981.0,202468.0,1-6 6-7,7,2,78,51,38,13,10,4,5,5,0,57,32,22,14,9,1,4
AgXDr62D,flashscore,2026-03-13,Hard,Indian Wells,QF,Elina Monfils,Iga Swiatek,,216347.0,6-2 4-6 6-4,5,5,89,55,40,15,14,5,8,3,8,87,53,33,15,14,6,11
xQWWUsdo,flashscore,2026-03-12,Hard,Indian Wells,QF,Linda Noskova,Talia Gibson,222328.0,221883.0,6-2 4-6 6-2,13,10,72,45,37,13,13,3,5,9,5,74,45,31,11,13,4,9
085vntWq,flashscore,2026-03-12,Hard,Indian Wells,QF,Aryna Sabalenka,Victoria Mboko,214544.0,239475.0,7-6 6-4,6,5,84,52,36,21,11,5,5,9,8,82,48,35,15,11,7,8
j52eX5nB,flashscore,2026-03-12,Hard,Indian Wells,R16,Elena Rybakina,Sonay Kartal,214981.0,222661.0,4-6 3-4,6,1,53,32,23,14,8,1,2,2,2,57,33,23,9,9,2,5
rRVjJOhB,flashscore,2026-03-12,Hard,Indian Wells,R16,Elina Monfils,Katerina Siniakova,,211701.0,1-6 1-1,1,1,27,13,11,9,5,0,0,0,1,24,11,6,6,4,1,3
WW7MvN15,flashscore,2026-03-11,Hard,Indian Wells,R16,Jessica Pegula,Belinda Bencic,202468.0,202505.0,6-3 7-6,8,3,78,47,31,12,11,2,5,3,6,78,46,27,13,10,3,7
OIUE5Kt2,flashscore,2026-03-11,Hard,Indian Wells,R16,Iga Swiatek,Karolina Muchova,216347.0,214096.0,2-6 0-6,1,2,39,29,23,6,7,0,0,0,2,55,36,19,4,7,2,7
rVgDKUZG,flashscore,2026-03-11,Hard,Indian Wells,R16,Linda Noskova,Alexandra Eala,222328.0,223253.0,2-6 0-6,7,0,38,22,17,13,7,1,1,0,3,44,25,9,9,7,3,8
MFPoMsBL,flashscore,2026-03-11,Hard,Indian Wells,R16,Victoria Mboko,Amanda Anisimova,239475.0,216153.0,6-4 6-1,5,5,47,33,27,7,8,1,1,4,2,69,51,29,5,9,0,4
zk6NLbcd,flashscore,2026-03-10,Hard,Indian Wells,R16,Talia Gibson,Jasmine Paolini,221883.0,211148.0,7-5 2-6 6-1,4,5,86,50,36,16,13,3,6,4,1,87,62,37,14,14,8,13
WGPSqBqn,flashscore,2026-03-10,Hard,Indian Wells,R16,Aryna Sabalenka,Naomi Osaka,214544.0,211768.0,6-2 6-4,8,0,56,42,32,7,9,2,2,4,4,68,43,25,12,9,6,9
hQraLhIk,flashscore,2026-03-10,Hard,Indian Wells,R32,Elena Rybakina,Marta Kostyuk,214981.0,216146.0,4-6 4-6,1,2,64,37,25,13,10,3,6,0,7,62,35,22,10,10,2,7
zmcR17La,flashscore,2026-03-10,Hard,Indian Wells,R32,Sonay Kartal,Madison Keys,222661.0,201619.0,6-2 2-6 3-6,2,2,87,62,41,14,13,3,6,5,3,91,61,35,15,12,6,10
SWKU3sfo,flashscore,2026-03-10,Hard,Indian Wells,R32,Iga Swiatek,Maria Sakkari,216347.0,206289.0,3-6 2-6,1,1,58,41,26,12,9,6,8,3,1,62,43,24,4,8,6,11
zPUuhigR,flashscore,2026-03-10,Hard,Indian Wells,R32,Elina Monfils,Ashlyn Krueger,,221909.0,4-6 2-6,2,1,53,30,25,11,9,1,2,3,4,56,40,20,7,9,2,6
lhM6xihl,flashscore,2026-03-09,Hard,Indian Wells,R32,Belinda Bencic,Elise Mertens,202505.0,210722.0,2-6 3-6,1,3,60,37,28,12,9,4,5,2,4,54,35,19,6,8,4,8
QZEokUyf,flashscore,2026-03-09,Hard,Indian Wells,R32,Katerina Siniakova,Mirra Andreeva,211701.0,259799.0,6-4 6-7 3-6,0,3,128,93,54,15,16,19,26,6,10,115,79,45,13,15,9,16
UVNMY8iD,flashscore,2026-03-09,Hard,Indian Wells,R32,Karolina Muchova,Antonia Ruzic,214096.0,222045.0,6-0 6-3,2,0,37,27,23,5,7,0,0,0,1,60,45,18,9,8,8,13
2ZbJ3Tjm,flashscore,2026-03-09,Hard,Indian Wells,R32,Jessica Pegula,Jelena Ostapenko,202468.0,211533.0,4-6 6-3 6-2,12,1,77,49,37,14,14,0,3,3,3,78,45,29,14,13,5,10
tfPrdwUq,flashscore,2026-03-09,Hard,Indian Wells,R32,Victoria Mboko,Anna Kalinskaya,239475.0,214939.0,6-4 6-1,3,3,50,30,24,14,9,2,2,1,1,43,31,20,5,8,1,4
lzilcT77,flashscore,2026-03-09,Hard,Indian Wells,R32,Alexandra Eala,Coco Gauff,223253.0,221103.0,2-6 0-2,0,0,25,17,10,4,5,1,3,2,7,39,17,8,6,5,1,6
OjlzrNSF,flashscore,2026-03-09,Hard,Indian Wells,R32,Amanda Anisimova,Emma Raducanu,216153.0,221054.0,1-6 1-6,2,2,35,21,18,10,7,0,0,0,3,39,22,6,8,7,2,7
IZfYN1yp,flashscore,2026-03-08,Hard,Indian Wells,R32,Naomi Osaka,Serrano Maria Camila Osorio,211768.0,215785.0,1-6 6-3 1-6,9,1,73,52,39,9,12,4,6,1,5,79,46,27,14,11,4,9
8t32OyWP,flashscore,2026-03-08,Hard,Indian Wells,R32,Jasmine Paolini,Ajla Tomljanovic,211148.0,201548.0,5-7 7-5 1-6,6,4,89,55,35,19,15,3,7,4,5,108,80,44,13,16,9,16
vPgYIFgm,flashscore,2026-03-08,Hard,Indian Wells,R32,Aryna Sabalenka,Jaqueline Cristian,214544.0,211713.0,6-4 6-1,5,3,51,35,30,7,9,5,6,2,7,45,21,17,6,8,2,6
UwO6omGO,flashscore,2026-03-08,Hard,Indian Wells,R32,Linda Noskova,Sorana Cirstea,222328.0,201514.0,7-6 4-6 4-6,10,6,99,57,43,25,16,0,1,12,3,116,67,46,30,16,9,12
lllOZzaM,flashscore,2026-03-08,Hard,Indian Wells,R32,Talia Gibson,Clara Tauson,221883.0,220704.0,7-6 4-6 6-4,8,5,101,66,54,17,16,7,9,28,4,115,81,65,12,16,3,5
K0O0YA0B,flashscore,2026-03-08,Hard,Indian Wells,R64,Elina Monfils,Laura Siegemund,,201696.0,6-7 6-4 3-6,4,4,104,63,45,23,15,8,11,0,3,99,73,47,16,16,1,5
be7UKcVI,flashscore,2026-03-08,Hard,Indian Wells,R64,Marta Kostyuk,Taylor Townsend,216146.0,203501.0,6-3 6-2,1,4,60,41,32,5,9,1,3,2,3,55,38,20,7,8,7,12
jHberM3N,flashscore,2026-03-08,Hard,Indian Wells,R64,Madison Keys,Diane Parry,201619.0,220348.0,6-4 6-3,2,2,72,55,36,9,9,8,9,0,3,71,37,22,16,10,5,9
0jbqpNHD,flashscore,2026-03-08,Hard,Indian Wells,R64,Jessica Pegula,Donna Vekic,202468.0,202499.0,4-6 6-2 6-3,8,3,86,57,40,16,13,5,7,1,3,85,53,33,13,14,2,7
QeObnDbs,flashscore,2026-03-08,Hard,Indian Wells,R64,Elise Mertens,Cristina Bucsa,210722.0,213710.0,6-2 6-1,4,6,46,27,22,9,8,1,2,0,3,37,27,11,4,7,1,6
OO1DsqE5,flashscore,2026-03-08,Hard,Indian Wells,R64,Antonia Ruzic,Qinwen Zheng,222045.0,221012.0,6-4 7-5,1,4,73,43,27,17,11,7,9,5,5,70,35,24,15,11,5,9
I7S8EppJ,flashscore,2026-03-08,Hard,Indian Wells,R64,Katerina Siniakova,Leylah Annie Fernandez,211701.0,,5-7 6-4 7-6,2,6,138,95,61,21,17,14,18,2,5,130,72,46,32,17,15,19
fqCeCFzf,flashscore,2026-03-08,Hard,Indian Wells,R64,Mirra Andreeva,Solana Sierra,259799.0,221333.0,6-0 6-0,1,2,38,22,15,13,6,4,4,0,3,37,16,3,8,6,3,9
8bKWDbyI,flashscore,2026-03-07,Hard,Indian Wells,R64,Iga Swiatek,Kayla Day,216347.0,215037.0,0-6 6-7,3,7,70,34,27,17,9,11,13,1,1,55,31,18,8,9,0,5
xzrTEP3L,flashscore,2026-03-07,Hard,Indian Wells,R64,Sonay Kartal,Emma Navarro,222661.0,215613.0,6-1 3-6 7-6,3,3,93,49,31,22,13,3,8,2,4,98,64,40,13,13,6,12
M561ZdpC,flashscore,2026-03-07,Hard,Indian Wells,R64,Ashlyn Krueger,Liudmila Samsonova,221909.0,214643.0,6-3 5-7 2-6,11,7,98,72,43,14,15,5,10,0,5,99,51,32,19,14,8,14
xUQhISpf,flashscore,2026-03-07,Hard,Indian Wells,R64,Jelena Ostapenko,Katie Volynets,211533.0,220465.0,4-6 6-7,0,6,77,44,32,11,11,2,6,7,0,90,62,33,12,11,3,8
lnTp5bTQ,flashscore,2026-03-07,Hard,Indian Wells,R64,Elena Rybakina,Hailey Baptiste,214981.0,221024.0,6-7 6-2 2-6,6,5,102,66,43,20,14,5,8,6,4,91,59,36,19,14,2,5
SKAlRNTO,flashscore,2026-03-07,Hard,Indian Wells,R64,Belinda Bencic,Storm Sanders,202505.0,,3-6 2-6,1,3,56,31,19,15,8,5,7,2,2,52,27,17,8,9,4,10
MJuLbsl4,flashscore,2026-03-07,Hard,Indian Wells,R64,Karolina Muchova,Anna Bondar,214096.0,214388.0,7-5 6-2,1,0,80,48,38,11,10,4,5,2,4,59,30,21,12,10,6,10
0UtyeamT,flashscore,2026-03-07,Hard,Indian Wells,R64,Maria Sakkari,Lilli Tagger,206289.0,0.0,7-5 6-0,3,3,60,34,28,14,9,6,6,1,3,63,38,24,9,9,4,8
6iRqOhzS,flashscore,2026-03-07,Hard,Indian Wells,R64,Alexandra Eala,Dayana Yastremska,223253.0,215035.0,5-7 6-4 5-7,2,4,96,69,41,13,17,1,7,8,15,126,67,44,23,17,7,14
nksSFFPH,flashscore,2026-03-07,Hard,Indian Wells,R64,Amanda Anisimova,Anna Blinkova,216153.0,215020.0,7-5 1-6 0-6,1,2,76,52,36,10,13,2,6,0,5,75,48,25,4,12,4,12
IkaCeiwA,flashscore,2026-03-07,Hard,Indian Wells,R64,Naomi Osaka,Kasintseva Victoria Jimenez,211768.0,,5-7 2-6,4,0,56,34,24,13,10,2,4,1,2,75,52,29,8,10,9,14
YwTyQE5F,flashscore,2026-03-07,Hard,Indian Wells,R64,Serrano Maria Camila Osorio,Iva Jovic,215785.0,260300.0,6-4 6-7 3-6,5,10,116,74,47,22,15,11,15,3,2,101,63,45,14,16,0,5
MqqaTSfA,flashscore,2026-03-07,Hard,Indian Wells,R64,Jaqueline Cristian,Maya Joint,211713.0,233741.0,0-6 6-2 7-5,8,4,101,63,41,17,13,8,12,3,3,88,56,36,15,13,11,15
lWpiVlQc,flashscore,2026-03-07,Hard,Indian Wells,R64,Coco Gauff,Kamilla Rakhimova,221103.0,215872.0,6-3 7-6,0,10,75,52,32,5,10,8,13,1,3,82,46,22,14,11,13,20
dCfVfaV1,flashscore,2026-03-07,Hard,Indian Wells,R64,Jasmine Paolini,Anastasia Potapova,211148.0,215713.0,7-6 2-6 3-6,5,1,105,66,43,20,14,8,11,1,6,108,59,36,21,15,10,17
SSjA2jXA,flashscore,2026-03-06,Hard,Indian Wells,R64,Ajla Tomljanovic,Xinyu 2001 Wang,201548.0,,3-6 1-6,2,6,53,39,31,6,8,8,8,1,3,50,33,19,6,8,0,4
r1tu5bBa,flashscore,2026-03-06,Hard,Indian Wells,R64,Aryna Sabalenka,Himeno Sakatsume,214544.0,221124.0,6-4 6-2,3,0,45,35,28,8,9,0,0,1,1,61,45,29,8,9,5,8
txrB7xF7,flashscore,2026-03-06,Hard,Indian Wells,R64,Anna Kalinskaya,Zeynep Sonmez,214939.0,220309.0,4-6 6-7,4,3,73,46,32,10,11,1,4,1,6,75,41,23,16,11,6,10
04V5Qy3d,flashscore,2026-03-06,Hard,Indian Wells,R64,Sorana Cirstea,Diana Shnaider,201514.0,223670.0,2-6 6-7,5,1,66,36,30,18,10,1,1,0,5,69,47,36,7,10,6,8
YBv39bpe,flashscore,2026-03-06,Hard,Indian Wells,R64,Talia Gibson,Ekaterina Alexandrova,221883.0,206420.0,3-6 5-7,7,2,74,39,32,19,11,7,7,6,3,58,34,23,14,10,1,3
Ovre1GAO,flashscore,2026-03-06,Hard,Indian Wells,R64,Linda Noskova,Maneiro Jessica Bouzas,222328.0,,3-6 3-6,5,5,56,36,30,8,9,3,4,3,4,60,26,15,14,9,4,8
YsJcG8nI,flashscore,2026-03-06,Hard,Indian Wells,R64,Victoria Mboko,Kimberly Birrell,239475.0,214040.0,6-4 7-6,7,5,65,40,31,9,11,3,7,2,4,75,49,27,12,11,2,7
6eH5EnHU,flashscore,2026-03-06,Hard,Indian Wells,R64,Clara Tauson,Yulia Putintseva,220704.0,201709.0,6-7 2-6,4,3,82,50,37,14,10,6,9,1,1,75,51,31,9,10,3,8
SQRLjmZi,flashscore,2026-03-06,Hard,Indian Wells,R64,Emma Raducanu,Anastasia Zakharova,221054.0,220435.0,6-1 6-3,3,3,46,33,25,6,8,2,3,0,1,58,46,22,4,8,3,8
xzbV5RfS,flashscore,2026-03-06,Hard,Indian Wells,R128,Solana Sierra,Peyton Stearns,221333.0,220548.0,5-7 5-7,5,4,75,50,36,12,12,6,8,3,2,59,31,21,17,12,0,4
b9IzZPOE,flashscore,2026-03-06,Hard,Indian Wells,R128,Hailey Baptiste,Emiliana Arango,221024.0,215306.0,6-2 2-6 3-6,0,4,85,45,32,22,13,3,6,1,6,102,69,37,19,12,7,11
nmteRYM5,flashscore,2026-03-06,Hard,Indian Wells,R128,Antonia Ruzic,Jennifer Brady,222045.0,206108.0,3-6 6-4 6-2,5,4,91,64,41,11,13,6,10,4,2,85,55,31,15,14,5,11
bkStDr2e,flashscore,2026-03-06,Hard,Indian Wells,R128,Katie Volynets,Rebecca Sramkova,220465.0,211685.0,6-1 0-0,0,0,26,25,18,0,4,1,1,0,2,17,11,6,1,3,1,3
vNxmTfhg,flashscore,2026-03-06,Hard,Indian Wells,R128,Katerina Siniakova,Sofia Kenin,211701.0,213550.0,1-6 6-4 6-1,5,3,73,40,28,17,12,3,6,2,7,82,57,38,10,12,8,12
SC0lHL6N,flashscore,2026-03-06,Hard,Indian Wells,R128,Storm Sanders,Magdalena Frech,,211684.0,3-6 7-5 6-3,1,7,126,83,48,20,15,9,12,4,2,108,65,46,17,15,3,7
8xueMnu9,flashscore,2026-03-06,Hard,Indian Wells,R128,Lilli Tagger,Varvara Gracheva,0.0,219875.0,2-6 4-6,5,3,55,34,26,10,9,5,6,0,8,57,27,17,13,9,5,9
ABCgDC5k,flashscore,2026-03-06,Hard,Indian Wells,R128,Cristina Bucsa,Darja Vidmanova,213710.0,0.0,6-4 6-0,0,0,65,47,29,10,8,10,11,0,4,46,36,18,3,8,2,7
Ik9IR2Yo,flashscore,2026-03-06,Hard,Indian Wells,R128,Anna Bondar,Elsa Jacquemot,214388.0,221039.0,6-7 5-7,4,0,76,49,30,14,12,2,6,3,3,89,56,37,11,12,6,11
4CpMVKLG,flashscore,2026-03-05,Hard,Indian Wells,R128,Diane Parry,Venus Williams,220348.0,200748.0,6-3 6-7 6-1,9,2,94,49,37,20,15,3,4,4,5,79,42,30,17,13,2,6
hj8tOTJ7,flashscore,2026-03-05,Hard,Indian Wells,R128,Kayla Day,Francesca Jones,215037.0,215936.0,3-6 1-6,4,2,50,35,28,8,8,5,5,0,1,47,36,21,4,8,2,6
Y5q105Ik,flashscore,2026-03-05,Hard,Indian Wells,R128,Donna Vekic,Tereza Valentova,202499.0,0.0,7-6 7-6,9,5,104,55,38,24,12,6,8,2,6,99,59,39,19,12,6,8
ng5YPkke,flashscore,2026-03-05,Hard,Indian Wells,R128,Taylor Townsend,Marie Bouzkova,203501.0,213631.0,2-6 1-6,2,3,47,34,23,6,8,1,3,1,4,50,34,14,4,7,6,12
jqkWADxP,flashscore,2026-03-05,Hard,Indian Wells,R128,Ashlyn Krueger,Magda Linette,221909.0,202663.0,1-6 4-6,1,4,56,37,26,11,9,3,4,1,3,55,37,22,5,8,6,10
K0v3PCiI,flashscore,2026-03-05,Hard,Indian Wells,R128,Laura Siegemund,Marcinko Petra,201696.0,,3-6 6-3 6-4,2,3,116,91,52,12,14,7,11,5,4,104,70,42,15,14,12,17
rcGfXXdL,flashscore,2026-03-05,Hard,Indian Wells,R128,Sonay Kartal,Lanlana Tararudee,222661.0,222290.0,4-6 4-6,1,1,85,57,33,14,10,15,18,4,3,56,42,24,4,10,4,9
6ePuVGNt,flashscore,2026-03-05,Hard,Indian Wells,R128,Dayana Yastremska,Shuai Zhang,215035.0,201533.0,6-3 6-2,5,5,55,33,22,9,9,1,3,0,3,49,35,14,7,8,3,8
pSuO7mQF,flashscore,2026-03-05,Hard,Indian Wells,R128,Serrano Maria Camila Osorio,Sloane Stephens,215785.0,201585.0,4-6 1-6,0,4,54,36,23,9,9,4,7,0,1,69,50,22,9,8,5,11
fa2tJsxB,flashscore,2026-03-05,Hard,Indian Wells,R128,Kamilla Rakhimova,Bianca Andreescu,215872.0,215370.0,7-6 0-6 1-6,1,4,81,48,33,22,12,5,6,12,5,90,54,32,14,13,6,13
zgrGEew0,flashscore,2026-03-05,Hard,Indian Wells,R128,Jaqueline Cristian,Janice Tjen,211713.0,222145.0,4-6 6-4 7-6,6,6,117,80,53,16,16,12,16,2,2,88,57,39,17,16,0,4
rPA1Bjz2,flashscore,2026-03-05,Hard,Indian Wells,R128,Anna Blinkova,Dalma Galfi,215020.0,213646.0,4-6 5-7,2,2,64,36,27,13,11,2,4,7,3,82,51,37,10,11,6,10
